nyca_id,name,number_of_elevators,location,serving
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Mezzanine And Uptown
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Mall Landing To Street
84,Herald Sq - 34th St,5,,Mezzanine To Mall Landing
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
84,Herald Sq - 34th St,5,,Southbound Platform To Mezzanine
105,96th St,2,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform
105,96th St,2,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Uptown Platform
110,72nd St,2,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Uptown Platform
110,72nd St,2,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Downtown Platform
114,Kew Gardens - Union Tpke,3,SE corner of Union Turnpike and Kew Gardens Road,Street To Mezzanine
114,Kew Gardens - Union Tpke,3,,Mezzanine To Uptown
114,Kew Gardens - Union Tpke,3,,Mezzanine To Platform
120,135th St,1,NE corner of 135 Street and Lenox Avenue,Street To Mezzanine & Uptown Platform
133,168th St,7,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine
133,168th St,7,,Lower Mezzanine To Upper Mezzanine
133,168th St,7,,Lower Mezzanine To Upper Mezzanine
133,168th St,7,,Lower Mezzanine To Upper Mezzanine
133,168th St,7,,Lower Mezzanine To Upper Mezzanine
133,168th St,7,,Mezzanine And Uptown
133,168th St,7,,Mezzanine To Downtown
135,175th St,2,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine
135,175th St,2,,Mezzanine To Platform
140,Rockaway Park - Beach 116 St,1,,Unknown
157,Woodside - 61st St,5,NE corner of 61st Street and Roosevelt Avenue,Street To Lirr Platform A & Mezzanine
157,Woodside - 61st St,5,,Mezzanine To Lirr Platform B
157,Woodside - 61st St,5,,Mezzanine To Lirr Platform C
157,Woodside - 61st St,5,,Mezzanine To Uptown
157,Woodside - 61st St,5,,Mezzanine To Downtown
157,Woodside - 61st St,5,,Street To Mezzanine
159,Flushing - Main St,1,,Street To Mezzanine
159,Flushing - Main St,1,Roosevelt Avenue east of Main Street,Street To Mezzanine &Platforms
159,Flushing - Main St,1,,Street To Mezzanine
159,Flushing - Main St,1,,Street To Mezzanine
163,Pelham Bay Park,2,,Mezzanine To Street
163,Pelham Bay Park,2,"Back of station beyond escalators, near corner of Westchester Avenue and Bruckner Boulevard",Street To Mezzanine
163,Pelham Bay Park,2,,Mezzanine To Platform
163,Pelham Bay Park,2,,Center Island Platform To Street
176,Sutphin Blvd - Archer Av,7,,Yard To Storage Room
176,Sutphin Blvd - Archer Av,7,,Mezzanine To Platform
176,Sutphin Blvd - Archer Av,7,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,7,,3 Landings
176,Sutphin Blvd - Archer Av,7,,Street To Lirr To Air Train
176,Sutphin Blvd - Archer Av,7,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,7,,Street To Ta Mezzanine And Lirr Overpass
176,Sutphin Blvd - Archer Av,7,,Center Island Upper Platform To Mezzanine
176,Sutphin Blvd - Archer Av,7,,Center Island Lower Platform To Center Island Upper Platform
176,Sutphin Blvd - Archer Av,7,,Center Island Upper Platform To Mezzanine
176,Sutphin Blvd - Archer Av,7,,Center Island Lower Platform To Center Island Upper Platform
178,Myrtle - Wyckoff Ave,3,Intersection of Myrtle/Wyckoff Avenues (Inside station house),Street To Mezzanine And M Transfer Passageway
178,Myrtle - Wyckoff Ave,3,,Mezzanine To Platform
178,Myrtle - Wyckoff Ave,3,,Transfer Passageway Mezzanine To Platform
178,Myrtle - Wyckoff Ave,3,,Lower Mezzanine To Upper Mezzanine
178,Myrtle - Wyckoff Ave,3,,Lower Mezzanine To Upper Mezzanine
194,Far Rockaway - Mott Ave,2,Corner of Mott Avenue and Beach 22nd Street (Inside station house),Street To Platform
194,Far Rockaway - Mott Ave,2,Corner of Mott Avenue and Beach 22nd Street (Inside station house),Street To Platform
205,74th St - Broadway,4,,Lower Mezzanine To Upper Mezzanine
205,74th St - Broadway,4,Roosevelt Avenue between 74th and 75th Streets,Middle Mezzanine To Street To Irt Mezzanine To Northbound Irt Platform(7)
205,74th St - Broadway,4,,Lower Mezzanine To Uptown E/F/M/R Platform
205,74th St - Broadway,4,,Mezzanine To Downtown 7
205,74th St - Broadway,4,,Mezzanine To Downtown E/F/M/R
205,74th St - Broadway,4,,Lower Mezzanine To Upper Mezzanine
205,74th St - Broadway,4,,Lower Mezzanine To Upper Mezzanine
205,74th St - Broadway,4,,Lower Mezzanine To Upper Mezzanine
205,74th St - Broadway,4,,Lower Mezzanine To Upper Mezzanine
219,Howard Beach - JFK Airport,3,Coleman Square and 159th Avenue,Street To Mezzanine
219,Howard Beach - JFK Airport,3,,Mezzanine To Uptown
219,Howard Beach - JFK Airport,3,,Mezzanine To Downtown
219,Howard Beach - JFK Airport,3,,Mezzanine To Air Train
219,Howard Beach - JFK Airport,3,,Mezzanine To Center Island Platform
219,Howard Beach - JFK Airport,3,,Mezzanine To Air Train
219,Howard Beach - JFK Airport,3,,Mezzanine To Air Train
223,Forest Hills - 71st Av,3,South side of Queens Boulevard between 70th Road and 71st Avenue,Street To Mezzanine All Trains
223,Forest Hills - 71st Av,3,,Mezzanine To Southbound Platform
223,Forest Hills - 71st Av,3,,Mezzanine To Northbound Platform
225,Jamaica - Van Wyck,2,Corner of 89th Avenue and the Van Wyck Expressway south service road,Street to Mezzanine
225,Jamaica - Van Wyck,2,,Mezzanine To Platform
225,Jamaica - Van Wyck,2,,Mezzanine To Street
225,Jamaica - Van Wyck,2,,Center Island Platform To Mezzanine
225,Jamaica - Van Wyck,2,,Center Island Platform To Mezzanine
225,Jamaica - Van Wyck,2,,Mezzanine To Street
225,Jamaica - Van Wyck,2,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,2,South side of Archer Avenue at Parsons Boulevard ,Street To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Mezzanine To Platforms
226,Jamaica Ctr - Parsons / Archer,2,,Center Island Lower Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Mezzanine To Platform
226,Jamaica Ctr - Parsons / Archer,2,,Center Island Lower Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Center Island Upper Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,2,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,2,,Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,2,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,2,,Center Island Upper Platform To Mezzanine
227,Simpson St,2,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform
227,Simpson St,2,SE corner of Simpson Street and Westchester Avenue,Street To Mezzanine & Uptown Platform
241,Pelham Pkwy,3,,Mezzanine To Southbound Platform
241,Pelham Pkwy,3,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine
241,Pelham Pkwy,3,,Mezzanine To Downtown
241,Pelham Pkwy,3,,Mezzanine To Uptown
241,Pelham Pkwy,3,,Street To Mezzanine
250,Kingsbridge Rd,3,NE corner of E. Kingsbridge Road and Grand Concourse,Street To Mezzanine
250,Kingsbridge Rd,3,,Mezzanine To Southbound Platform
250,Kingsbridge Rd,3,,Northbound Platform To Mezzanine
253,231st St,2,SE corner of 231 Street and Broadway,Street To Mezzanine & Uptown Platform
253,231st St,2,SW corner of 231 Street and Broadway,Street To Mezzanine
256,Inwood - 207th St,2,SW corner of Broadway and 207th Street,Street To Mezzanine
256,Inwood - 207th St,2,,Mezzanine To Platform
262,Gun Hill Rd,2,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine & Uptown Platform
262,Gun Hill Rd,2,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine And Downtown Platform
262,Gun Hill Rd,2,,Street To Mezzanine
262,Gun Hill Rd,2,,Street To Mezzanine
269,Jamaica - 179th St,3,SE corner of 179th Place and Hillside Avenue,Street To Mezzanine
269,Jamaica - 179th St,3,,Mezzanine To Platform
269,Jamaica - 179th St,3,,Mezzanine To Platform
276,E 180th St,2,NW corner of East 180th Street and Morris Park Avenue (inside station house),Street To Uptown Platform
276,E 180th St,2,NW corner of East 180th Street and Morris Park Avenue (inside station house),Street To Downtown Platform
277,Dyckman St,1,SW corner of Hillside Avenue and St. Nicholas Avenue/Ft. George Hill,Street To Downtown Platform
280,Franklin Ave,2,SW corner of Fulton Street and Franklin Avenue,Street To Downtown C Platform And S Platform
280,Franklin Ave,2,,Uptown Platform To 1st Level Bridge
280,Franklin Ave,2,,Lower Mezzanine To Platform
283,3rd Ave - 149th St,2,NW corner of 149th Street and Third Avenue,Street To Downtown Platform
283,3rd Ave - 149th St,2,SW corner of 149th Street and Third Avenue,Street To Uptown Platform
291,161st St - Yankee Stadium,5,,Lower Mezzanine To Upper Mezzanine
291,161st St - Yankee Stadium,5,NE corner of 161st Street and River Avenue,Street To Mezzanine
291,161st St - Yankee Stadium,5,,Mezzanines To Downtown 4 Platform
291,161st St - Yankee Stadium,5,,"Mezzanine To Downtown B, D"
291,161st St - Yankee Stadium,5,,Mezzanines To  Uptown 4 Platform
291,161st St - Yankee Stadium,5,,"Mezzanine To Uptown B, D"
291,161st St - Yankee Stadium,5,,Lower Mezzanine To Upper Mezzanine
294,Utica Ave,3,NW corner of Fulton Street and Malcolm X Boulevard,Street To Mezzanine
294,Utica Ave,3,,Mezzanine To Platform
294,Utica Ave,3,,Platform To Mezzanine
305,Queens Plz,3,Corner of Queens Plaza South and Jackson Avenue,Street To Mezzanine
