nyca_id,name,number_of_elevators,location,serving
445,14th St - 8 Av,5,,Mezzanine To L Platform
445,14th St - 8 Av,5,,"Mezzanine To Downtown A,C&E Platform"
460,Euclid Ave,3,,Mezzanine To Uptown
460,Euclid Ave,3,NE corner of Euclid Avenue and Pitkin Avenue,Street To Mezzanine
460,Euclid Ave,3,,Mezzanine To Downtown
469,125th St,2,NE corner of 125th Street and Lexington Avenue,Street To Mezzanine
469,125th St,2,,Mezzanine To Uptown And Downtown Platforms
470,Coney Island - Stillwell Av,3,,3 Landings
470,Coney Island - Stillwell Av,3,,Overpass To D Platform
470,Coney Island - Stillwell Av,3,,Overpass To N Platform
471,Grand Central - 42nd St,4,,Street To Terminal/Mezzanine
471,Grand Central - 42nd St,4,,Upper Mezzanine To Street (Gc Terminal)
471,Grand Central - 42nd St,4,,Upper Mezzanine To Street (Gc Terminal)
471,Grand Central - 42nd St,4,,"Mezzanine To Downtown 4,5,6 Platform"
471,Grand Central - 42nd St,4,,"Mezzanine To Uptown 4,5,6 Platform"
471,Grand Central - 42nd St,4,,Mezzanine To 7 Platform
471,Grand Central - 42nd St,4,,Center Island Platform To Lower Mezzanine (West End)
471,Grand Central - 42nd St,4,,Lower Mezzanine To Street (3rd Ave)
471,Grand Central - 42nd St,4,,Lower Mezzanine To Upper Mezzanine (Bowery)
471,Grand Central - 42nd St,4,,Lower Mezzanine To Upper Mezzanine (West End)
471,Grand Central - 42nd St,4,,Lower Mezzanine To Street (3rd Ave)
471,Grand Central - 42nd St,4,,Lower Mezzanine To Upper Mezzanine (Bowery)
471,Grand Central - 42nd St,4,,Unknown
471,Grand Central - 42nd St,4,,Center Island Platform To Lower Mezzanine (West End)
471,Grand Central - 42nd St,4,,Unknown
471,Grand Central - 42nd St,4,,Lower Mezzanine To Upper Mezzanine (West End)
471,Grand Central - 42nd St,4,,Unknown
