"station","borough","equipmenttype","serving","ADA","line"
"34 St - Herald Sq","MN","ES","MALL LANDING TO STREET","N","B"
"34 St - Herald Sq","MN","ES","MALL LANDING TO STREET","N","B"
"34 St - Herald Sq","MN","ES","MEZZANINE AND UPTOWN","N","B"
"34 St - Herald Sq","MN","EL","MEZZANINE TO DOWNTOWN","Y","B"
"34 St - Herald Sq","MN","EL","MEZZANINE TO DOWNTOWN","Y","B"
"34 St - Herald Sq","MN","ES","MEZZANINE TO MALL LANDING","N","B"
"34 St - Herald Sq","MN","ES","MEZZANINE TO MALL LANDING","N","B"
"34 St - Herald Sq","MN","EL","MEZZANINE TO UPTOWN","Y","B"
"34 St - Herald Sq","MN","EL","MEZZANINE TO UPTOWN","Y","B"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"34 St - Herald Sq","MN","EL","STREET TO MEZZANINE","Y","B"
"34 St - Herald Sq","MN","EL","STREET TO PATH TRAIN","N","B"
"34 St - Hudson Yards","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","7"
"34 St - Hudson Yards","MN","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y","7"
"34 St - Hudson Yards","MN","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y","7"
"34 St - Hudson Yards","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","7"
"34 St - Hudson Yards","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","7"
"34 St - Hudson Yards","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","7"
"34 St - Hudson Yards","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","7"
"34 St - Hudson Yards","MN","EL","PLATFORM TO LOWER MEZZANINE","Y","7"
"34 St - Hudson Yards","MN","ES","UPPER MEZZANINE TO STREET","N","7"
"34 St - Hudson Yards","MN","ES","UPPER MEZZANINE TO STREET","N","7"
"34 St - Hudson Yards","MN","ES","UPPER MEZZANINE TO STREET","N","7"
"34 St - Hudson Yards","MN","ES","UPPER MEZZANINE TO STREET","N","7"
"34 St - Hudson Yards","MN","EL","UPPER MEZZANINE TO STREET","Y","7"
"34 St - Penn","MN","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y","1"
"34 St - Penn","MN","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y","A"
"34 St - Penn","MN","EL","MEZZANINE TO EXPRESS PLATFORM","Y","A"
"34 St - Penn","MN","EL","MEZZANINE TO EXPRESS PLATFORM","Y","1"
"34 St - Penn","MN","EL","MEZZANINE TO UPTOWN LOCAL PLATFORM","Y","1"
"34 St - Penn","MN","EL","STREET TO UPTOWN LOCAL PLATFORM","Y","A"
"34 St - Penn","MN","EL","UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE","Y","A"
"42 St - Bryant Park","MN","EL","LOWER MEZZANINE TO NORTHBOUND PLATFORM","Y","B"
"42 St - Bryant Park","MN","EL","NW Corner of 39th & 6th","N","B"
"42 St - Bryant Park","MN","EL","STREET TO MEZZANINE","N","B"
"42 St - Bryant Park","MN","EL","SW Corner of 42nd & 6th","N","B"
"42 St - Grand Central","MN","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N","4"
"42 St - Grand Central","MN","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N","4"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE (WEST END)","N","4"
"42 St - Grand Central","MN","EL","MEZZANINE TO 7 PLATFORM","Y","4"
"42 St - Grand Central","MN","EL","MEZZANINE TO DOWNTOWN 4,5,6 PLATFORM","Y","4"
"42 St - Grand Central","MN","EL","MEZZANINE TO UPTOWN 4,5,6 PLATFORM","Y","4"
"42 St - Grand Central","MN","EL","STREET TO TERMINAL/MEZZANINE","Y","4"
"42 St - Grand Central","MN","ES","UNASSIGNED","N","4"
"42 St - Grand Central","MN","ES","UNASSIGNED","N","4"
"42 St - Grand Central","MN","ES","UNASSIGNED","N","4"
"42 St - Grand Central","MN","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N","4"
"42 St - Grand Central","MN","ES","UPPER MEZZANINE TO STREET (GC TERMINAL)","N","4"
"42 St - Port Authority Bus Terminal","MN","EL","BUS TERMINAL TO LOWER MEZZANINE","Y","A"
"42 St - Port Authority Bus Terminal","MN","EL","BUS TERMINAL TO LOWER MEZZANINE","Y","A"
"42 St - Port Authority Bus Terminal","MN","EL","INTERMEDIATE LANDING TO MEZZANINE","Y","A"
"42 St - Port Authority Bus Terminal","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"42 St - Port Authority Bus Terminal","MN","ES","MEZZANINE TO STREET","N","A"
"42 St - Port Authority Bus Terminal","MN","EL","STREET TO INTERMEDIATE LANDING","Y","A"
"47-50 St - Rockefeller Ctr","MN","EL","MEZZANINE TO DOWNTOWN","Y","B"
"47-50 St - Rockefeller Ctr","MN","EL","MEZZANINE TO UPTOWN","Y","B"
"47-50 St - Rockefeller Ctr","MN","EL","STREET TO MEZZANINE","Y","B"
"49 St","MN","EL","STREET TO MEZZANINE","Y","N"
"5 Av / 53 St","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","E"
"5 Av / 53 St","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","E"
"5 Av / 53 St","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N","E"
"5 Av / 53 St","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE (MADISON AVE)","N","E"
"50 St","MN","ES","MEZZANINE TO E TRAIN PLATFORM","N","C"
"50 St","MN","EL","PLAZA TO DOWNTOWN PLATFORMS","Y","C"
"50 St","MN","EL","STREET TO MEZZANINE","Y","C"
"50 St","MN","ES","STREET TO MEZZANINE","N","C"
"51 St","MN","ES","MEZZANINE TO PLATFORM","N","6"
"57 St - 7 Av","MN","EL","MEZZANINE TO STREET","N","N"
"59 St","MN","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N","4"
"59 St","MN","ES","NORTHBOUND EXPRESS PLATFORM TO NORTHBOUND LOCAL PLATFORM","N","4"
"59 St","MN","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N","4"
"59 St","MN","ES","SOUTHBOUND EXPRESS PLATFORM TO SOUTHBOUND LOCAL PLATFORM","N","4"
"59 St - Columbus Cir","MN","EL","MEZZANINE AND DOWNTOWN","Y","1"
"59 St - Columbus Cir","MN","EL","MEZZANINE AND UPTOWN","Y","A"
"59 St - Columbus Cir","MN","EL","MEZZANINE AND UPTOWN","Y","1"
"59 St - Columbus Cir","MN","EL","STREET TO MEZZANINE ALL TRAINS","Y","1"
"59 St - Columbus Cir","MN","EL","STREET TO MEZZANINE AND UPTOWN 1 PLATFORM","Y","1"
"599 Lexington Av","MN","ES","MEZZANINE TO UNDERPASS 6 TRAIN DOWNTOWN","N","E"
"61 St - Woodside","QNS","EL","MEZZANINE TO DOWNTOWN","Y","7"
"61 St - Woodside","QNS","EL","MEZZANINE TO LIRR PLATFORM B","N","7"
"61 St - Woodside","QNS","EL","MEZZANINE TO LIRR PLATFORM C","N","7"
"61 St - Woodside","QNS","EL","MEZZANINE TO UPTOWN","Y","7"
"61 St - Woodside","QNS","EL","STREET TO LIRR PLATFORM A & MEZZANINE","Y","7"
"61 St - Woodside","QNS","ES","STREET TO MEZZANINE","N","7"
"66 St - Lincoln Center","MN","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","1"
"66 St - Lincoln Center","MN","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y","1"
"7 Av","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"7 Av","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","B"
"72 St","MN","EL","STREET TO DOWNTOWN PLATFORM","Y","1"
"72 St","MN","EL","STREET TO UPTOWN PLATFORM","Y","1"
"72 St / 2 Av","MN","ES","BASEMENT ENTRANCE TO STREET","N","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE TO STREET","Y","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE TO STREET","Y","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE TO STREET","Y","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE TO STREET","Y","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE TO STREET","Y","Q"
"72 St / 2 Av","MN","EL","LOWER MEZZANINE-FIRST UPPER MEZZANINE-SECOND UPPER MEZZANINE","Y","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO BASEMENT ENTRANCE","N","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO BASEMENT ENTRANCE","N","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO BASEMENT ENTRANCE","N","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO STREET","N","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO STREET","N","Q"
"72 St / 2 Av","MN","ES","MEZZANINE TO STREET","N","Q"
"72 St / 2 Av","MN","EL","PLATFORM TO LOWER MEZZANINE","Y","Q"
"72 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"72 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"72 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"8 Av","MN","EL","MEZZANINE TO PLATFORM","Y","L"
"86 St / 2 Av","MN","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","ES","MEZZANINE TO MID LANDING ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","EL","MEZZANINE TO STREET","Y","Q"
"86 St / 2 Av","MN","ES","MEZZANINE TO STREET ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","ES","MEZZANINE TO STREET ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","ES","MEZZANINE TO STREET ENTRANCE #1","N","Q"
"86 St / 2 Av","MN","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N","Q"
"86 St / 2 Av","MN","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 EAST","N","Q"
"86 St / 2 Av","MN","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N","Q"
"86 St / 2 Av","MN","ES","MID LANDING ENTRANCE #2 TO STREET ENTRANCE #2 WEST","N","Q"
"86 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"86 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"86 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"86 St / 2 Av","MN","EL","PLATFORM TO MEZZANINE","Y","Q"
"96 St","MN","EL","STREET TO DOWNTOWN PLATFORM","Y","1"
"96 St","MN","EL","STREET TO UPTOWN PLATFORM","Y","1"
"96 St / 2 Av","MN","EL","MEZZANINE TO STREET","Y","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL N-W","N","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL N-W","N","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL S-E","N","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL S-E","N","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL S-E","N","Q"
"96 St / 2 Av","MN","ES","MEZZANINE TO STREET LEVEL S-W","N","Q"
"96 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"96 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"96 St / 2 Av","MN","EL","PLATFORM TO MEZZANINE","Y","Q"
"96 St / 2 Av","MN","ES","PLATFORM TO MEZZANINE","N","Q"
"Atlantic Av-Barclays Ctr","BKN","ES","LOWER MEZZANINE TO STREET","N","2"
"Atlantic Av-Barclays Ctr","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","2"
"Atlantic Av-Barclays Ctr","BKN","EL","MEZZANINE TO 4, 5 PLATFORM","Y","2"
"Atlantic Av-Barclays Ctr","BKN","EL","MEZZANINE TO DOWNTOWN","Y","D"
"Atlantic Av-Barclays Ctr","BKN","EL","MEZZANINE TO DOWNTOWN 2,3 PLATFORM","Y","2"
"Atlantic Av-Barclays Ctr","BKN","EL","MEZZANINE TO UPTOWN","Y","D"
"Atlantic Av-Barclays Ctr","BKN","EL","MIDDLE MEZZANINE TO B,Q PLATFORM","Y","2"
