"station","borough","equipmenttype","serving","ADA","line"
"Far Rockaway - Mott Av","QNS","EL","STREET TO PLATFORM","Y","A"
"Flatbush Av Brooklyn College","BKN","EL","STREET TO PLATFORMS","Y","2"
"Flushing Av","BKN","EL","MEZZANINE TO DOWNTOWN","Y","J"
"Flushing Av","BKN","EL","MEZZANINE TO UPTOWN","Y","J"
"Flushing Av","BKN","EL","STREET TO MEZZANINE","Y","J"
"Flushing Main St","QNS","ES","STREET TO MEZZANINE","N","7"
"Flushing Main St","QNS","ES","STREET TO MEZZANINE","N","7"
"Flushing Main St","QNS","ES","STREET TO MEZZANINE","N","7"
"Flushing Main St","QNS","EL","STREET TO MEZZANINE &PLATFORMS","Y","7"
"Fordham Rd","BX","EL","MEZZANINE TO DOWNTOWN","Y","4"
"Fordham Rd","BX","EL","MEZZANINE TO UPTOWN","Y","4"
"Fordham Rd","BX","EL","STREET TO MEZZANINE","Y","4"
"Forest Hills - 71 Av","QNS","EL","MEZZANINE TO NORTHBOUND PLATFORM","Y","E"
"Forest Hills - 71 Av","QNS","EL","MEZZANINE TO SOUTHBOUND PLATFORM","Y","E"
"Forest Hills - 71 Av","QNS","EL","STREET TO MEZZANINE ALL TRAINS","Y","E"
"Franklin Av","BKN","ES","LOWER MEZZANINE TO PLATFORM","N","C"
"Franklin Av","BKN","EL","STREET TO DOWNTOWN C PLATFORM AND S PLATFORM","Y","C"
"Franklin Av","BKN","EL","UPTOWN PLATFORM TO 1ST LEVEL BRIDGE","Y","C"
"Fulton St","MN","EL","3 LANDINGS","Y","4"
"Fulton St","MN","ES","33 MAIDEN LANE TO PASSAGEWAY","N","J"
"Fulton St","MN","ES","33 MAIDEN LANE TO PASSAGEWAY","N","J"
"Fulton St","MN","EL","4/5 & R/W UNDERPASS","Y","4"
"Fulton St","MN","EL","4/5 & R/W UNDERPASS","Y","4"
"Fulton St","MN","EL","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","Y","A"
"Fulton St","MN","EL","CORBIN BUILDING","Y","A"
"Fulton St","MN","EL","CORBIN BUILDING","Y","A"
"Fulton St","MN","ES","CORBIN BUILDING","N","A"
"Fulton St","MN","ES","CORBIN BUILDING","N","A"
"Fulton St","MN","EL","CORTLANDT ST R LINE","Y","A"
"Fulton St","MN","EL","CORTLANDT ST R LINE","Y","4"
"Fulton St","MN","EL","LOWER MEZZANINE TO PLATFORM","Y","A"
"Fulton St","MN","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N","A"
"Fulton St","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"Fulton St","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"Fulton St","MN","EL","PLATFORM TO LOWER MEZZANINE","Y","A"
"Fulton St","MN","EL","PLATFORM TO MEZZANINE","Y","2"
"Fulton St","MN","EL","TRANSIT CENTER","Y","A"
"Fulton St","MN","EL","TRANSIT CENTER","Y","A"
"Fulton St","MN","ES","TRANSIT CENTER","N","A"
"Fulton St","MN","ES","TRANSIT CENTER","N","A"
"Fulton St","MN","ES","TRANSIT CENTER","N","A"
"Fulton St","MN","EL","TRANSIT CENTER","N","A"
"Fulton St","MN","EL","TRANSIT CENTER","Y","A"
"Fulton St","MN","ES","TRANSIT CENTER","N","A"
"Fulton St","MN","ES","TRANSIT CENTER","N","A"
"Fulton St","MN","EL","TRANSIT CENTER","Y","A"
"Fulton St","MN","EL","TRANSIT CENTER","Y","A"
"Fulton St","MN","EL","UPPER MEZZANINE TO STREET","Y","J"
"Fulton St","MN","EL","UPPER MEZZANINE TO STREET","Y","2"
"Gun Hill Rd","BX","ES","STREET TO MEZZANINE","N","2"
"Gun Hill Rd","BX","ES","STREET TO MEZZANINE","N","2"
"Gun Hill Rd","BX","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","2"
"Gun Hill Rd","BX","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y","2"
"High St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"High St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"High St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"High St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"High St","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","A"
"Howard Beach","QNS","ES","MEZZANINE TO AIR TRAIN","N","A"
"Howard Beach","QNS","ES","MEZZANINE TO AIR TRAIN","N","A"
"Howard Beach","QNS","ES","MEZZANINE TO AIR TRAIN","N","A"
"Howard Beach","QNS","ES","MEZZANINE TO CENTER ISLAND PLATFORM","N","A"
"Howard Beach","QNS","EL","MEZZANINE TO DOWNTOWN","Y","A"
"Howard Beach","QNS","EL","MEZZANINE TO DOWNTOWN","Y","A"
"Howard Beach","QNS","EL","MEZZANINE TO UPTOWN","Y","A"
"Howard Beach","QNS","EL","MEZZANINE TO UPTOWN","Y","A"
"Howard Beach","QNS","EL","STREET TO MEZZANINE","Y","A"
"Howard Beach","QNS","EL","STREET TO MEZZANINE","Y","A"
"Hunts Point","BX","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y","6"
"Hunts Point","BX","EL","SOUTHBOUND PLATFORM TO MEZZANINE","Y","6"
"Hunts Point","BX","EL","STREET TO MEZZANINE","Y","6"
"Intervale Av","BX","ES","STREET TO MEZZANINE","N","2"
"Jackson Hts - Roosevelt Av","QNS","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","E"
"Jackson Hts - Roosevelt Av","QNS","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","E"
"Jackson Hts - Roosevelt Av","QNS","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","E"
"Jackson Hts - Roosevelt Av","QNS","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","E"
"Jackson Hts - Roosevelt Av","QNS","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","E"
"Jackson Hts - Roosevelt Av","QNS","EL","LOWER MEZZANINE TO UPTOWN E/F/M/R PLATFORM","Y","E"
"Jackson Hts - Roosevelt Av","QNS","EL","MEZZANINE TO DOWNTOWN 7","Y","E"
"Jackson Hts - Roosevelt Av","QNS","EL","MEZZANINE TO DOWNTOWN E/F/M/R","Y","E"
"Jackson Hts - Roosevelt Av","QNS","EL","MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7)","Y","E"
"Jamaica - Van Wyck","QNS","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","E"
"Jamaica - Van Wyck","QNS","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","E"
"Jamaica - Van Wyck","QNS","EL","MEZZANINE TO PLATFORM","Y","E"
"Jamaica - Van Wyck","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica - Van Wyck","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica - Van Wyck","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica - Van Wyck","QNS","EL","STREET TO MEZZANINE","Y","E"
"Jamaica Center Parsons/Archer","QNS","ES","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","MEZZANINE TO PLATFORM","N","E"
"Jamaica Center Parsons/Archer","QNS","EL","MEZZANINE TO PLATFORMS","Y","E"
"Jamaica Center Parsons/Archer","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","MEZZANINE TO STREET","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","ES","PLATFORM TO MEZZANINE","N","E"
"Jamaica Center Parsons/Archer","QNS","EL","STREET TO MEZZANINE","Y","E"
"Jay St - MetroTech","BKN","ES","LOWER MEZZANINE TO PLATFORM","N","A"
"Jay St - MetroTech","BKN","EL","MEZZANINE AND DOWNTOWN","Y","A"
"Jay St - MetroTech","BKN","EL","MEZZANINE AND UPTOWN","Y","A"
"Jay St - MetroTech","BKN","ES","MEZZANINE TO PLATFORM","N","A"
"Jay St - MetroTech","BKN","EL","MEZZANINE TO PLATFORM","Y","A"
"Jay St - MetroTech","BKN","ES","MEZZANINE TO STREET (NORTH) MYRTLE AVE","N","A"
"Jay St - MetroTech","BKN","ES","MEZZANINE TO STREET (NORTH) MYRTLE AVE","N","A"
"Jay St - MetroTech","BKN","ES","MEZZANINE TO STREET (SOUTH) WILLOUGHBY ST","N","A"
"Jay St - MetroTech","BKN","ES","MEZZANINE TO STREET (SOUTH) WILLOUGHBY ST","N","A"
"Jay St - MetroTech","BKN","EL","STREET TO MEZZANINE","Y","A"
"Jay St - MetroTech","BKN","EL","STREET TO MEZZANINE","N","A"
"Junction Blvd","QNS","EL","OVERPASS TO DOWNTOWN PLATFORM","Y","7"
"Junction Blvd","QNS","EL","OVERPASS TO UPTOWN PLATFORM","Y","7"
"Junction Blvd","QNS","EL","STREET TO MEZZANINE & OVERPASS","Y","7"
"Kew Gardens / Union Tpk","QNS","EL","MEZZANINE TO PLATFORM","Y","E"
"Kew Gardens / Union Tpk","QNS","EL","MEZZANINE TO UPTOWN","Y","E"
"Kew Gardens / Union Tpk","QNS","EL","STREET TO MEZZANINE","Y","E"
"Kings Highway","BKN","EL","STREET TO DOWNTOWN PLATFORM","Y","B"
"Kings Highway","BKN","EL","STREET TO UPTOWN PLATFORM","Y","B"
"Kingsbridge Road","BX","EL","MEZZANINE TO SOUTHBOUND PLATFORM","Y","D"
"Kingsbridge Road","BX","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y","D"
"Kingsbridge Road","BX","EL","STREET TO MEZZANINE","Y","D"
"Lexington Av / 53 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","E"
"Lexington Av / 53 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","E"
"Lexington Av / 53 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","E"
"Lexington Av / 53 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (3RD AVE)","N","E"
"Lexington Av / 53 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (3RD AVE)","N","E"
"Lexington Av / 53 St","MN","EL","MEZZANINE TO PLATFORM","Y","E"
"Lexington Av / 53 St","MN","ES","PASSAGEWAY MEZZANINE TO PLATFORM E/M","N","E"
"Lexington Av / 53 St","MN","EL","STREET TO MEZZANINE TO 6/E/M TRAINS","Y","E"
"Lexington Av / 53 St","MN","ES","STREET TO MEZZANINE TO E/M TRAINS","N","E"
"Lexington Av / 59 St","MN","ES","BMT CENTER ISLAND PLATFORM TO IRT SOUTHBOUND PLATFORM","N","N"
"Lexington Av / 59 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (60ST / 3RD AVE)","N","N"
"Lexington Av / 59 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (60ST / 3RD AVE)","N","N"
"Lexington Av / 63 St","MN","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N","F"
"Lexington Av / 63 St","MN","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N","F"
"Lexington Av / 63 St","MN","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N","F"
"Lexington Av / 63 St","MN","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM","Y","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO PLATFORMS","Y","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO PLATFORMS","Y","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO PLATFORMS","Y","F"
"Lexington Av / 63 St","MN","ES","MEZZANINE TO STREET","N","F"
"Lexington Av / 63 St","MN","ES","MEZZANINE TO STREET","N","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO STREET","Y","F"
"Lexington Av / 63 St","MN","EL","MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM","Y","F"
"Lexington Av / 63 St","MN","ES","MIDDLE MEZZANINE TO LOWER MEZZANINE","N","F"
"Lexington Av / 63 St","MN","ES","MIDDLE MEZZANINE TO LOWER MEZZANINE","N","F"
"Lexington Av / 63 St","MN","EL","STREET TO MEZZANINE","Y","F"
"Lexington Av / 63 St","MN","ES","STREET TO UPPER MEZZANINE","N","F"
"Lexington Av / 63 St","MN","ES","STREET TO UPPER MEZZANINE","N","F"
"Lexington Av / 63 St","MN","ES","UPPER MEZZANINE TO MIDDLE MEZZANINE","N","F"
"Lexington Av / 63 St","MN","ES","UPPER MEZZANINE TO MIDDLE MEZZANINE","N","F"
"Marcy Av","BKN","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","J"
"Marcy Av","BKN","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y","J"
"Myrtle Av / Wyckoff Av","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","L"
"Myrtle Av / Wyckoff Av","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","L"
"Myrtle Av / Wyckoff Av","BKN","EL","MEZZANINE TO PLATFORM","Y","L"
"Myrtle Av / Wyckoff Av","BKN","EL","STREET TO MEZZANINE AND M TRANSFER PASSAGEWAY","Y","L"
"Myrtle Av / Wyckoff Av","BKN","EL","TRANSFER PASSAGEWAY MEZZANINE TO PLATFORM","Y","L"
"Park Place","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","2"
"Park Place","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","2"
"Parkchester","BX","ES","STREET TO CENTER ISLAND PLATFORM","N","6"
"Pelham Bay Park","BX","ES","CENTER ISLAND PLATFORM TO STREET","N","6"
"Pelham Bay Park","BX","EL","CENTER ISLAND PLATFORM, INTERMEDIATE-EMPLOYEE ONLY, MEZZANINE","Y","6"
"Pelham Bay Park","BX","ES","MEZZANINE TO STREET","N","6"
"Pelham Bay Park","BX","EL","STREET TO MEZZANINE","Y","6"
"Pelham Pkwy","BX","EL","MEZZANINE TO DOWNTOWN","Y","2"
"Pelham Pkwy","BX","ES","MEZZANINE TO SOUTHBOUND PLATFORM","N","2"
"Pelham Pkwy","BX","EL","MEZZANINE TO UPTOWN","Y","2"
"Pelham Pkwy","BX","ES","STREET TO MEZZANINE","N","2"
"Pelham Pkwy","BX","EL","STREET TO MEZZANINE","Y","2"
"President St","BKN","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N","2"
"Prospect Park","BKN","EL","STREET TO DOWNTOWN PLATFORM","Y","B"
"Prospect Park","BKN","EL","STREET TO UPTOWN PLATFORM","Y","B"
"Queens Plaza","QNS","EL","MEZZANINE TO DOWNTOWN","Y","E"
"Queens Plaza","QNS","EL","MEZZANINE TO UPTOWN","Y","E"
"Queens Plaza","QNS","EL","STREET TO MEZZANINE","Y","E"
"Rockaway Park - Beach 116 St","QNS","EL","UNASSIGNED","Y","A"
"Roosevelt Island","MN","ES","CENTER MEZZANINE TO STREET","N","F"
"Roosevelt Island","MN","ES","CENTER MEZZANINE TO STREET","N","F"
"Roosevelt Island","MN","ES","CENTER MEZZANINE TO STREET","N","F"
"Roosevelt Island","MN","ES","LOWER MEZZANINE TO CENTER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","LOWER MEZZANINE TO CENTER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","LOWER MEZZANINE TO CENTER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","NORTHBOUND PLATFORM TO LOWER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","NORTHBOUND PLATFORM TO LOWER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","SOUTHBOUND PLATFORM TO LOWER MEZZANINE","N","F"
"Roosevelt Island","MN","ES","SOUTHBOUND PLATFORM TO LOWER MEZZANINE","N","F"
"Roosevelt Island","MN","EL","STREET TO DOWNTOWN PLATFORM","Y","F"
"Roosevelt Island","MN","EL","STREET TO UPTOWN PLATFORM","Y","F"
"Simpson St","BX","EL","STREET TO DOWNTOWN PLATFORM","Y","2"
"Simpson St","BX","EL","STREET TO UPTOWN PLATFORM","Y","2"
"Smith - 9 Sts","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","F"
"Smith - 9 Sts","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","F"
"Smith - 9 Sts","BKN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","F"
"Smith - 9 Sts","BKN","ES","STREET TO LOWER MEZZANINE","N","F"
"Smith - 9 Sts","BKN","ES","STREET TO LOWER MEZZANINE","N","F"
"Smith - 9 Sts","BKN","ES","STREET TO LOWER MEZZANINE","N","F"
"South Ferry","MN","EL","MEZZANINE TO PLATFORM","Y","1"
"South Ferry","MN","ES","MEZZANINE TO STREET","N","1"
"South Ferry","MN","ES","MEZZANINE TO STREET","N","1"
"South Ferry","MN","ES","MEZZANINE TO STREET","N","1"
"South Ferry","MN","ES","MEZZANINE TO STREET","N","1"
"South Ferry","MN","ES","PLATFORM TO MEZZANINE","N","1"
"South Ferry","MN","ES","PLATFORM TO MEZZANINE","N","1"
"South Ferry","MN","ES","PLATFORM TO MEZZANINE","N","1"
"South Ferry","MN","EL","STREET TO MEZZANINE","Y","1"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","3 LANDINGS","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","Center Island Lower Platform to Center Island Upper Platform","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","Center Island Lower Platform to Center Island Upper Platform","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","MEZZANINE TO PLATFORM","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","STREET TO LIRR TO AIR TRAIN","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","STREET TO MEZZANINE TO E/J/Z TRAINS","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","ES","STREET TO MEZZANINE TO E/J/Z TRAINS","N","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","STREET TO TA MEZZANINE AND LIRR OVERPASS","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","STREET TO TA MEZZANINE AND LIRR OVERPASS","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","STREET TO TA MEZZANINE AND LIRR OVERPASS","Y","E"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","EL","YARD TO STORAGE ROOM","N","E"
"Times Sq - 42 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / 7 AVE)","N","N"
"Times Sq - 42 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / 7 AVE)","N","N"
"Times Sq - 42 St","MN","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / BWAY)","N","N"
"Times Sq - 42 St","MN","EL","MEZZANINE AND UPTOWN 1,2,3 TRAINS PLATFORM","Y","N"
"Times Sq - 42 St","MN","EL","MEZZANINE TO DOWNTOWN","Y","N"
"Times Sq - 42 St","MN","EL","MEZZANINE TO DOWNTOWN PLATFORM & 7 PLATFORM","Y","N"
"Times Sq - 42 St","MN","EL","MEZZANINE TO UPTOWN","Y","N"
"Times Sq - 42 St","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"Times Sq - 42 St","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"Times Sq - 42 St","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"Times Sq - 42 St","MN","EL","STREET TO MEZZANINE ALL TRAINS","N","N"
"Times Sq - 42 St","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"Utica Av","BKN","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y","A"
"Utica Av","BKN","EL","SOUTHBOUND PLATFORM TO MEZZANINE","Y","A"
"Utica Av","BKN","EL","STREET TO MEZZANINE","Y","A"
"Wall St","MN","ES","60 WALL STREET ATRIUM TO MEZZANINE 2/3 TRAIN PASSAGEWAY","N","2"
"Wall St","MN","ES","60 WALL STREET ATRIUM TO MEZZANINE 2/3 TRAIN PASSAGEWAY","N","2"
"West 4 St - Washington Sq","MN","EL","MIDDLE MEZZANINE TO DOWNTOWN PLATFORMS","Y","A"
"West 4 St - Washington Sq","MN","EL","MIDDLE MEZZANINE TO UPTOWN PLATFORMS","Y","A"
"West 4 St - Washington Sq","MN","ES","NORTHBOUND LL PLATFORM TO NORTHBOUND UL PLATFORM","N","A"
"West 4 St - Washington Sq","MN","ES","SOUTHBOUND LL PLATFORM TO SOUTHBOUND UL PLATFORM","N","A"
"West 4 St - Washington Sq","MN","EL","STREET TO MEZZANINE","Y","A"
"West 8 St - NY Aquarium","BKN","ES","MEZZANINE TO NORTHBOUND UL PLATFORM","N","F"
"West Farms Sq - E Tremont Av","BX","ES","STREET TO MEZZANINE","N","2"
"Whitehall St - South Ferry","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Whitehall St - South Ferry","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"Whitehall St - South Ferry","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","R"
"125 St","MN","EL","MEZZANINE AND DOWNTOWN","Y","B"
"125 St","MN","EL","MEZZANINE AND UPTOWN","Y","B"
"125 St","MN","EL","MEZZANINE TO UPTOWN AND DOWNTOWN PLATFORMS","Y","5"
"125 St","MN","EL","STREET TO MEZZANINE","Y","5"
"125 St","MN","EL","STREET TO MEZZANINE","Y","B"
"135 St","MN","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y","3"
"135 St","MN","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y","3"
"14 St","MN","EL","MEZZANINE TO DOWNTOWN A,C&E PLATFORM","Y","C"
"14 St","MN","EL","MEZZANINE TO UPTOWN A,C&E PLATFORM","Y","C"
"14 St","MN","EL","STREET TO MEZZANINE","Y","C"
"14 St - Union Sq","MN","EL","MEZZANINE TO DOWNTOWN PLATFORM(N&R)","Y","N"
"14 St - Union Sq","MN","EL","MEZZANINE TO UPTOWN PLATFORM N,Q,R","Y","N"
"14 St - Union Sq","MN","EL","STREET TO MEZZANINE","Y","N"
"14 St - Union Sq","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"14 St - Union Sq","MN","ES","STREET TO MEZZANINE ALL TRAINS","N","N"
"145 St","MN","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N","B"
"145 St","MN","ES","NORTHBOUND LL PLATFORM TO UPPER MEZZANINE","N","B"
"149 St - 3 Av","BX","EL","STREET TO DOWNTOWN PLATFORM","Y","5"
"149 St - 3 Av","BX","EL","STREET TO UPTOWN PLATFORM","Y","5"
"161 St - Yankee Stadium","BX","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","B"
"161 St - Yankee Stadium","BX","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N","B"
"161 St - Yankee Stadium","BX","EL","MEZZANINE TO DOWNTOWN B, D","Y","B"
"161 St - Yankee Stadium","BX","EL","MEZZANINE TO UPTOWN B, D","Y","B"
"161 St - Yankee Stadium","BX","EL","MEZZANINES TO  UPTOWN 4 PLATFORM","Y","B"
"161 St - Yankee Stadium","BX","EL","MEZZANINES TO DOWNTOWN 4 PLATFORM","Y","B"
"161 St - Yankee Stadium","BX","EL","STREET TO MEZZANINE","Y","B"
"168 St","MN","EL","MEZZANINE AND UPTOWN","Y","C"
"168 St","MN","EL","MEZZANINE TO DOWNTOWN","Y","C"
"168 St","MN","EL","STREET TO MEZZANINE","Y","C"
"233 St","BX","EL","MEZZANINE TO PLATFORM","Y","5"
"233 St","BX","EL","MEZZANINE TO UPTOWN","Y","5"
"233 St","BX","EL","STREET TO MEZZANINE","Y","5"
"34 St - Herald Sq","MN","ES","MALL LANDING TO STREET","N","D"
"34 St - Herald Sq","MN","ES","MALL LANDING TO STREET","N","D"
"34 St - Herald Sq","MN","ES","MEZZANINE AND UPTOWN","N","D"
"34 St - Herald Sq","MN","EL","MEZZANINE TO DOWNTOWN","Y","D"
"34 St - Herald Sq","MN","EL","MEZZANINE TO DOWNTOWN","Y","D"
"34 St - Herald Sq","MN","ES","MEZZANINE TO MALL LANDING","N","D"
"34 St - Herald Sq","MN","ES","MEZZANINE TO MALL LANDING","N","D"
"34 St - Herald Sq","MN","EL","MEZZANINE TO UPTOWN","Y","D"
"34 St - Herald Sq","MN","EL","MEZZANINE TO UPTOWN","Y","D"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","NORTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N","D"
"34 St - Herald Sq","MN","EL","STREET TO MEZZANINE","Y","D"
"34 St - Herald Sq","MN","EL","STREET TO PATH TRAIN","N","D"
"34 St - Penn","MN","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y","2"
"34 St - Penn","MN","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y","C"
"34 St - Penn","MN","EL","MEZZANINE TO EXPRESS PLATFORM","Y","C"
"34 St - Penn","MN","EL","MEZZANINE TO EXPRESS PLATFORM","Y","2"
"34 St - Penn","MN","EL","MEZZANINE TO UPTOWN LOCAL PLATFORM","Y","2"
"34 St - Penn","MN","EL","STREET TO UPTOWN LOCAL PLATFORM","Y","C"
"34 St - Penn","MN","EL","UPTOWN LOCAL PLATFORM TO LOWER MEZZANINE","Y","C"
"42 St - Bryant Park","MN","EL","LOWER MEZZANINE TO NORTHBOUND PLATFORM","Y","D"
"42 St - Bryant Park","MN","EL","NW Corner of 39th & 6th","N","D"
"42 St - Bryant Park","MN","EL","STREET TO MEZZANINE","N","D"
"42 St - Bryant Park","MN","EL","SW Corner of 42nd & 6th","N","D"
"42 St - Grand Central","MN","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N","5"
"42 St - Grand Central","MN","ES","CENTER ISLAND PLATFORM TO LOWER MEZZANINE (WEST END)","N","5"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N","5"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO STREET (3RD AVE)","N","5"
"42 St - Grand Central","MN","ES","LOWER MEZZANINE TO UPPER MEZZANINE (BOWERY)","N","5"
