"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"Bowling Green","MN","4/5","ES343","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Bowling Green","MN","4/5","ES342","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Bowling Green","MN","4/5","ES337","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Bowling Green","MN","4/5","ES339","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Bowling Green","MN","4/5","ES338","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Bowling Green","MN","4/5","ES336","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Bowling Green","MN","4/5","EL711","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Bowling Green","MN","4/5","EL710","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
NA,"Bowling Green","MN","4/5","ES345","ES","UPPER MEZZANINE TO STREET","N"
NA,"Briarwood/Van Wyck Blvd","QNS","E/F","EL424","EL","STREET TO MEZZANINE","N"
NA,"Brighton Beach","BKN","B/Q","ES346","ES","STREET TO MEZZANINE","N"
NA,"Broadway Junction","BKN","A/C/J/L/Z/LIRR","ES347","ES","STREET TO UPPER MEZZANINE","N"
NA,"Broadway Junction","BKN","A/C/J/L/Z/LIRR","ES331","ES","STREET TO UPPER MEZZANINE","N"
NA,"Broadway Junction","BKN","A/C/J/L/Z/LIRR","ES330","ES","STREET TO UPPER MEZZANINE","N"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","EL329","EL","DOWNTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","EL330","EL","DOWNTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM","Y"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","ES300","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","EL328","EL","STREET TO MEZZANINE AND DOWNTOWN 6 PLATFORM","Y"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","EL332","EL","UPTOWN 6 MEZZANINE TO DOWNTOWN B/D/F/M PLATFORM","Y"
NA,"Broadway-Lafayette/Bleecker St","MN","B/D/F/6","EL331","EL","UPTOWN 6 MEZZANINE TO UPTOWN B/D/F/M PLATFORM","Y"
NA,"Brooklyn Bridge - City Hall","MN","4/5/6","EL315","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Brooklyn Bridge - City Hall","MN","4/5/6","EL316","EL","MEZZANINE TO UPTOWN","Y"
NA,"Brooklyn Bridge - City Hall","MN","4/5/6","EL314","EL","STREET TO MEZZANINE","Y"
NA,"Canal St","MN","J/N/Q/R/W/Z","EL325","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"Canal St","MN","6","EL324","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"Chambers St","MN","1/2/3","EL338","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Chambers St","MN","1/2/3","EL337","EL","MEZZANINE TO UPTOWN","Y"
NA,"Chambers St","MN","1/2/3","EL336","EL","STREET TO MEZZANINE","Y"
NA,"Church Av","BKN","F/G","EL375","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Church Av","BKN","F/G","EL374","EL","MEZZANINE TO UPTOWN","Y"
NA,"Church Av","BKN","2/5","EL321","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"Church Av","BKN","F/G","EL373","EL","STREET TO MEZZANINE","Y"
NA,"Church Av","BKN","2/5","EL320","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"Clark St","BKN","2/3","EL310","EL","LOWER MEZZANINE TO STREET","N"
NA,"Clark St","BKN","2/3","EL311","EL","LOWER MEZZANINE TO STREET","N"
NA,"Clark St","BKN","2/3","EL312","EL","LOWER MEZZANINE TO STREET","N"
NA,"Columbus Circle","MN","1/A/B","ES251X","ES","STREET TO MEZZANINE ALL TRAINS","N"
NA,"Columbus Circle","MN","1/A/B","ES250X","ES","STREET TO MEZZANINE ALL TRAINS","N"
NA,"Coney Island Stillwell Av","BKN","D/F/N/Q","EL399","EL","3 LANDINGS","Y"
NA,"Coney Island Stillwell Av","BKN","D/F/N/Q","EL702","EL","OVERPASS TO D PLATFORM","Y"
NA,"Coney Island Stillwell Av","BKN","D/F/N/Q","EL701","EL","OVERPASS TO N PLATFORM","Y"
NA,"Corona Yard Signal Tower","QNS","7","EL400","EL","UNASSIGNED","Y"
NA,"Cortlandt St","MN","1","ES380X","ES","STREET TO MEZZANINE","N"
NA,"Court Square","QNS","G/7","EL447","EL","LEVEL 2 TO MEZZANINE","Y"
NA,"Court Square","QNS","G/7","EL445X","EL","STREET TO MEZZANINE","Y"
NA,"Court Square","QNS","G/7","ES462X","ES","STREET TO MEZZANINE","N"
NA,"Court Square","QNS","G/7","ES461X","ES","STREET TO MEZZANINE","N"
NA,"Court Square","QNS","G/7","EL446","EL","STREET TO MEZZANINE","Y"
NA,"Court Square","QNS","G/7","ES265X","ES","STREET TO MEZZANINE PASSAGEWAY TO E/G/M TRAINS","N"
NA,"Court Square","QNS","G/7","ES266X","ES","STREET TO MEZZANINE PASSAGEWAY TO E/G/M TRAINS","N"
NA,"Court Square - 23 St","QNS","E/M","PW401","PW","PASSAGEWAY TRANSFER","N"
NA,"Court Square - 23 St","QNS","E/M","PW402","PW","PASSAGEWAY TRANSFER","N"
NA,"Court St","BKN","R","ES306","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Court St","BKN","R","EL309","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Court St","BKN","R","EL308","EL","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Court St","BKN","R","ES305","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Crown Hts - Utica Av","BKN","3/4","EL323","EL","MEZZANINE TO PLATFORMS","Y"
NA,"Crown Hts - Utica Av","BKN","3/4","EL322","EL","STREET TO MEZZANINE","Y"
NA,"Dekalb Av","BKN","B/Q/R","EL372","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Dekalb Av","BKN","B/Q/R","EL371","EL","MEZZANINE TO UPTOWN","Y"
NA,"Dekalb Av","BKN","B/Q/R","ES309","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"Dekalb Av","BKN","B/Q/R","ES308","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"Dekalb Av","BKN","B/Q/R","EL370","EL","STREET TO MEZZANINE","Y"
NA,"Delancey St Essex St","MN","F/J/M/Z","ES327","ES","MEZZANINE TO STREET","N"
NA,"Delancey St Essex St","MN","F/J/M/Z","ES328","ES","NORTHBOUND PLATFORM TO STREET","N"
NA,"Dyckman St","MN","1","EL178","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"Dyckman St Quarters","MN","1","EL156","EL","UNASSIGNED","N"
NA,"East 180 St","BX","2/5","EL160","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"East 180 St","BX","2/5","EL159","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"East Broadway","MN","F","ES329","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Euclid Av","BKN","A/C","EL343","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Euclid Av","BKN","A/C","EL342","EL","MEZZANINE TO UPTOWN","Y"
NA,"Euclid Av","BKN","A/C","EL341","EL","STREET TO MEZZANINE","Y"
NA,"Far Rockaway - Mott Av","QNS","A","EL498","EL","STREET TO PLATFORM","Y"
NA,"Far Rockaway - Mott Av","QNS","A","EL497","EL","STREET TO PLATFORM","Y"
NA,"Flatbush Av Brooklyn College","BKN","2/5","EL319","EL","STREET TO PLATFORMS","Y"
NA,"Flushing Av","BKN","J/M","EL394","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Flushing Av","BKN","J/M","EL395","EL","MEZZANINE TO UPTOWN","Y"
NA,"Flushing Av","BKN","J/M","EL393","EL","STREET TO MEZZANINE","Y"
NA,"Flushing Main St","QNS","7","ES456","ES","STREET TO MEZZANINE","N"
NA,"Flushing Main St","QNS","7","ES457","ES","STREET TO MEZZANINE","N"
NA,"Flushing Main St","QNS","7","ES455","ES","STREET TO MEZZANINE","N"
NA,"Flushing Main St","QNS","7","EL414","EL","STREET TO MEZZANINE &PLATFORMS","Y"
NA,"Fordham Rd","BX","4","EL188","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Fordham Rd","BX","4","EL187","EL","MEZZANINE TO UPTOWN","Y"
NA,"Fordham Rd","BX","4","EL186","EL","STREET TO MEZZANINE","Y"
NA,"Forest Hills - 71 Av","QNS","E/F/G/R/M/LIRR","EL439","EL","MEZZANINE TO NORTHBOUND PLATFORM","Y"
NA,"Forest Hills - 71 Av","QNS","E/F/G/R/M/LIRR","EL438","EL","MEZZANINE TO SOUTHBOUND PLATFORM","Y"
NA,"Forest Hills - 71 Av","QNS","E/F/G/R/M/LIRR","EL437","EL","STREET TO MEZZANINE ALL TRAINS","Y"
NA,"Franklin Av","BKN","C/S","ES352","ES","LOWER MEZZANINE TO PLATFORM","N"
NA,"Franklin Av","BKN","C/S","EL339","EL","STREET TO DOWNTOWN C PLATFORM AND S PLATFORM","Y"
NA,"Franklin Av","BKN","C/S","EL340","EL","UPTOWN PLATFORM TO 1ST LEVEL BRIDGE","Y"
NA,"Fulton St","MN","4/5","EL716","EL","3 LANDINGS","Y"
NA,"Fulton St","MN","J/Z","ES377X","ES","33 MAIDEN LANE TO PASSAGEWAY","N"
NA,"Fulton St","MN","J/Z","ES376X","ES","33 MAIDEN LANE TO PASSAGEWAY","N"
NA,"Fulton St","MN","4/5","EL728X","EL","4/5 & R/W UNDERPASS","Y"
NA,"Fulton St","MN","4/5","EL729X","EL","4/5 & R/W UNDERPASS","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL720","EL","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL725X","EL","CORBIN BUILDING","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL724X","EL","CORBIN BUILDING","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES366X","ES","CORBIN BUILDING","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES365X","ES","CORBIN BUILDING","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL727X","EL","CORTLANDT ST R LINE","Y"
NA,"Fulton St","MN","4/5","EL726X","EL","CORTLANDT ST R LINE","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL719","EL","LOWER MEZZANINE TO PLATFORM","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES364","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES367","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES368","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL721","EL","PLATFORM TO LOWER MEZZANINE","Y"
NA,"Fulton St","MN","2/3","EL732","EL","PLATFORM TO MEZZANINE","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL734X","EL","TRANSIT CENTER","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL717X","EL","TRANSIT CENTER","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES363X","ES","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES361X","ES","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES383X","ES","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL733X","EL","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL714X","EL","TRANSIT CENTER","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES360X","ES","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","ES362X","ES","TRANSIT CENTER","N"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL715X","EL","TRANSIT CENTER","Y"
NA,"Fulton St","MN","A/C/J/Z/2/3/4/5","EL718X","EL","TRANSIT CENTER","Y"
NA,"Fulton St","MN","J/Z","EL722","EL","UPPER MEZZANINE TO STREET","Y"
NA,"Fulton St","MN","2/3","EL723","EL","UPPER MEZZANINE TO STREET","Y"
NA,"Gun Hill Rd","BX","2/5","ES104","ES","STREET TO MEZZANINE","N"
NA,"Gun Hill Rd","BX","2/5","ES105","ES","STREET TO MEZZANINE","N"
NA,"Gun Hill Rd","BX","2/5","EL182","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
NA,"Gun Hill Rd","BX","2/5","EL183","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
NA,"High St","BKN","A/C","ES322","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"High St","BKN","A/C","ES350","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"High St","BKN","A/C","ES323","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"High St","BKN","A/C","ES324","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"High St","BKN","A/C","ES321","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Howard Beach","QNS","A","ES498X","ES","MEZZANINE TO AIR TRAIN","N"
NA,"Howard Beach","QNS","A","ES497X","ES","MEZZANINE TO AIR TRAIN","N"
NA,"Howard Beach","QNS","A","ES499X","ES","MEZZANINE TO AIR TRAIN","N"
NA,"Howard Beach","QNS","A","ES496X","ES","MEZZANINE TO CENTER ISLAND PLATFORM","N"
NA,"Howard Beach","QNS","A","EL493X","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Howard Beach","QNS","A","EL492X","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Howard Beach","QNS","A","EL495X","EL","MEZZANINE TO UPTOWN","Y"
NA,"Howard Beach","QNS","A","EL494X","EL","MEZZANINE TO UPTOWN","Y"
NA,"Howard Beach","QNS","A","EL491X","EL","STREET TO MEZZANINE","Y"
NA,"Howard Beach","QNS","A","EL490X","EL","STREET TO MEZZANINE","Y"
NA,"Hunts Point","BX","6","EL196","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y"
NA,"Hunts Point","BX","6","EL197","EL","SOUTHBOUND PLATFORM TO MEZZANINE","Y"
NA,"Hunts Point","BX","6","EL195","EL","STREET TO MEZZANINE","Y"
NA,"Intervale Av","BX","2/5","ES108","ES","STREET TO MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","ES449","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","ES453","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","ES452","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","ES451","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","ES450","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","EL422","EL","LOWER MEZZANINE TO UPTOWN E/F/M/R PLATFORM","Y"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","EL423","EL","MEZZANINE TO DOWNTOWN 7","Y"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","EL421","EL","MEZZANINE TO DOWNTOWN E/F/M/R","Y"
NA,"Jackson Hts - Roosevelt Av","QNS","E/F/M/R/7","EL420","EL","MIDDLE MEZZANINE TO STREET TO IRT MEZZANINE TO NORTHBOUND IRT PLATFORM(7)","Y"
NA,"Jamaica - Van Wyck","QNS","E","ES429","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Jamaica - Van Wyck","QNS","E","ES428","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Jamaica - Van Wyck","QNS","E","EL408","EL","MEZZANINE TO PLATFORM","Y"
NA,"Jamaica - Van Wyck","QNS","E","ES430","ES","MEZZANINE TO STREET","N"
NA,"Jamaica - Van Wyck","QNS","E","ES431","ES","MEZZANINE TO STREET","N"
NA,"Jamaica - Van Wyck","QNS","E","ES427","ES","MEZZANINE TO STREET","N"
NA,"Jamaica - Van Wyck","QNS","E","EL409","EL","STREET TO MEZZANINE","Y"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES446","ES","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES445","ES","CENTER ISLAND LOWER PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES443","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES444","ES","CENTER ISLAND UPPER PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES441","ES","MEZZANINE TO PLATFORM","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","EL413","EL","MEZZANINE TO PLATFORMS","Y"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES438","ES","MEZZANINE TO STREET","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES439","ES","MEZZANINE TO STREET","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES440","ES","MEZZANINE TO STREET","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES447","ES","PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","ES442","ES","PLATFORM TO MEZZANINE","N"
NA,"Jamaica Center Parsons/Archer","QNS","E/J","EL412","EL","STREET TO MEZZANINE","Y"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES356","ES","LOWER MEZZANINE TO PLATFORM","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","EL708","EL","MEZZANINE AND DOWNTOWN","Y"
NA,"Jay St - MetroTech","BKN","A/C/F/R","EL707","EL","MEZZANINE AND UPTOWN","Y"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES357","ES","MEZZANINE TO PLATFORM","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","EL709","EL","MEZZANINE TO PLATFORM","Y"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES320","ES","MEZZANINE TO STREET (NORTH) MYRTLE AVE","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES319","ES","MEZZANINE TO STREET (NORTH) MYRTLE AVE","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES318","ES","MEZZANINE TO STREET (SOUTH) WILLOUGHBY ST","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","ES317","ES","MEZZANINE TO STREET (SOUTH) WILLOUGHBY ST","N"
NA,"Jay St - MetroTech","BKN","A/C/F/R","EL706","EL","STREET TO MEZZANINE","Y"
NA,"Jay St - MetroTech","BKN","A/C/F/R","EL327X","EL","STREET TO MEZZANINE","N"
NA,"Junction Blvd","QNS","7","EL426","EL","OVERPASS TO DOWNTOWN PLATFORM","Y"
NA,"Junction Blvd","QNS","7","EL427","EL","OVERPASS TO UPTOWN PLATFORM","Y"
NA,"Junction Blvd","QNS","7","EL425","EL","STREET TO MEZZANINE & OVERPASS","Y"
NA,"Kew Gardens / Union Tpk","QNS","E/F","EL436","EL","MEZZANINE TO PLATFORM","Y"
NA,"Kew Gardens / Union Tpk","QNS","E/F","EL435","EL","MEZZANINE TO UPTOWN","Y"
NA,"Kew Gardens / Union Tpk","QNS","E/F","EL434","EL","STREET TO MEZZANINE","Y"
NA,"Kings Highway","BKN","B/Q","EL761","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"Kings Highway","BKN","B/Q","EL760","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"Kingsbridge Road","BX","D/B","EL191","EL","MEZZANINE TO SOUTHBOUND PLATFORM","Y"
NA,"Kingsbridge Road","BX","D/B","EL190","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y"
NA,"Kingsbridge Road","BX","D/B","EL189","EL","STREET TO MEZZANINE","Y"
NA,"Lexington Av / 53 St","MN","E/M","ES243","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Lexington Av / 53 St","MN","E/M","ES244","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Lexington Av / 53 St","MN","E/M","ES269","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Lexington Av / 53 St","MN","E/M","ES246","ES","CENTER ISLAND PLATFORM TO MEZZANINE (3RD AVE)","N"
NA,"Lexington Av / 53 St","MN","E/M","ES245","ES","CENTER ISLAND PLATFORM TO MEZZANINE (3RD AVE)","N"
NA,"Lexington Av / 53 St","MN","E/M","EL245","EL","MEZZANINE TO PLATFORM","Y"
NA,"Lexington Av / 53 St","MN","E/M","ES254X","ES","PASSAGEWAY MEZZANINE TO PLATFORM E/M","N"
NA,"Lexington Av / 53 St","MN","E/M","EL203X","EL","STREET TO MEZZANINE TO 6/E/M TRAINS","Y"
NA,"Lexington Av / 53 St","MN","E/M","ES600X","ES","STREET TO MEZZANINE TO E/M TRAINS","N"
NA,"Lexington Av / 59 St","MN","N/R/W","ES215","ES","BMT CENTER ISLAND PLATFORM TO IRT SOUTHBOUND PLATFORM","N"
NA,"Lexington Av / 59 St","MN","N/R/W","ES249","ES","CENTER ISLAND PLATFORM TO MEZZANINE (60ST / 3RD AVE)","N"
NA,"Lexington Av / 59 St","MN","N/R/W","ES248","ES","CENTER ISLAND PLATFORM TO MEZZANINE (60ST / 3RD AVE)","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES408","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES407","ES","LOWER MEZZANINE TO NORTHBOUND PLATFORM","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES410","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES409","ES","LOWER MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Lexington Av / 63 St","MN","F/Q","EL402","EL","MEZZANINE TO DOWNTOWN AND DOWNTOWN TO UPTOWN PLATFORM","Y"
NA,"Lexington Av / 63 St","MN","F/Q","EL441","EL","MEZZANINE TO PLATFORMS","Y"
NA,"Lexington Av / 63 St","MN","F/Q","EL443","EL","MEZZANINE TO PLATFORMS","Y"
NA,"Lexington Av / 63 St","MN","F/Q","EL442","EL","MEZZANINE TO PLATFORMS","Y"
NA,"Lexington Av / 63 St","MN","F/Q","ES458","ES","MEZZANINE TO STREET","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES459","ES","MEZZANINE TO STREET","N"
NA,"Lexington Av / 63 St","MN","F/Q","EL444","EL","MEZZANINE TO STREET","Y"
NA,"Lexington Av / 63 St","MN","F/Q","EL440","EL","MEZZANINE TO UPPER SOUTHBOUND PLATFORM TO LOWER NORTHBOUND PLATFORM","Y"
NA,"Lexington Av / 63 St","MN","F/Q","ES406","ES","MIDDLE MEZZANINE TO LOWER MEZZANINE","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES405","ES","MIDDLE MEZZANINE TO LOWER MEZZANINE","N"
NA,"Lexington Av / 63 St","MN","F/Q","EL401","EL","STREET TO MEZZANINE","Y"
NA,"Lexington Av / 63 St","MN","F/Q","ES402","ES","STREET TO UPPER MEZZANINE","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES401","ES","STREET TO UPPER MEZZANINE","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES404","ES","UPPER MEZZANINE TO MIDDLE MEZZANINE","N"
NA,"Lexington Av / 63 St","MN","F/Q","ES403","ES","UPPER MEZZANINE TO MIDDLE MEZZANINE","N"
NA,"Marcy Av","BKN","J/M/Z","EL391","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
NA,"Marcy Av","BKN","J/M/Z","EL392","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
NA,"Myrtle Av / Wyckoff Av","BKN","L/M","ES332","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Myrtle Av / Wyckoff Av","BKN","L/M","ES333","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"Myrtle Av / Wyckoff Av","BKN","L/M","EL397","EL","MEZZANINE TO PLATFORM","Y"
NA,"Myrtle Av / Wyckoff Av","BKN","L/M","EL396","EL","STREET TO MEZZANINE AND M TRANSFER PASSAGEWAY","Y"
NA,"Myrtle Av / Wyckoff Av","BKN","L/M","EL398","EL","TRANSFER PASSAGEWAY MEZZANINE TO PLATFORM","Y"
NA,"Park Place","MN","2/3","ES301","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Park Place","MN","2/3","ES302","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Parkchester","BX","6","ES111","ES","STREET TO CENTER ISLAND PLATFORM","N"
NA,"Pelham Bay Park","BX","6","ES121","ES","CENTER ISLAND PLATFORM TO STREET","N"
NA,"Pelham Bay Park","BX","6","EL122","EL","CENTER ISLAND PLATFORM, INTERMEDIATE-EMPLOYEE ONLY, MEZZANINE","Y"
NA,"Pelham Bay Park","BX","6","ES120","ES","MEZZANINE TO STREET","N"
NA,"Pelham Bay Park","BX","6","EL121","EL","STREET TO MEZZANINE","Y"
NA,"Pelham Pkwy","BX","2/5","EL138","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Pelham Pkwy","BX","2/5","ES123","ES","MEZZANINE TO SOUTHBOUND PLATFORM","N"
NA,"Pelham Pkwy","BX","2/5","EL137","EL","MEZZANINE TO UPTOWN","Y"
NA,"Pelham Pkwy","BX","2/5","ES122","ES","STREET TO MEZZANINE","N"
NA,"Pelham Pkwy","BX","2/5","EL136","EL","STREET TO MEZZANINE","Y"
NA,"President St","BKN","2/5","ES304","ES","CENTER ISLAND PLATFORM TO MEZZANINE","N"
NA,"Prospect Park","BKN","B/Q/S","EL383","EL","STREET TO DOWNTOWN PLATFORM","Y"
NA,"Prospect Park","BKN","B/Q/S","EL382","EL","STREET TO UPTOWN PLATFORM","Y"
NA,"Queens Plaza","QNS","E/R/M","EL429","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"Queens Plaza","QNS","E/R/M","EL430","EL","MEZZANINE TO UPTOWN","Y"
NA,"Queens Plaza","QNS","E/R/M","EL428","EL","STREET TO MEZZANINE","Y"
NA,"Rockaway Park - Beach 116 St","QNS","A/S","EL499","EL","UNASSIGNED","Y"
NA,"Roosevelt Island","MN","F","ES413","ES","CENTER MEZZANINE TO STREET","N"
NA,"Roosevelt Island","MN","F","ES411","ES","CENTER MEZZANINE TO STREET","N"
NA,"Roosevelt Island","MN","F","ES412","ES","CENTER MEZZANINE TO STREET","N"
NA,"Roosevelt Island","MN","F","ES415","ES","LOWER MEZZANINE TO CENTER MEZZANINE","N"
NA,"Roosevelt Island","MN","F","ES414","ES","LOWER MEZZANINE TO CENTER MEZZANINE","N"
