"text","station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
NA,"21 St - Queensbridge","QNS","F","ES421","ES","MEZZANINE TO STREET","N"
NA,"21 St - Queensbridge","QNS","F","ES422","ES","MEZZANINE TO STREET","N"
NA,"21 St - Queensbridge","QNS","F","EL407","EL","MEZZANINE TO UPTOWN","Y"
NA,"21 St - Queensbridge","QNS","F","ES426","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"21 St - Queensbridge","QNS","F","ES425","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"21 St - Queensbridge","QNS","F","ES424","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"21 St - Queensbridge","QNS","F","ES423","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"21 St - Queensbridge","QNS","F","EL405","EL","STREET TO MEZZANINE","Y"
NA,"23 St","MN","6","EL298","EL","NORTHBOUND PLATFORM TO STREET","Y"
NA,"23 St","MN","6","EL299","EL","SOUTHBOUND PLATFORM TO STREET","Y"
NA,"231 St","BX","1","EL185","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
NA,"231 St","BX","1","EL184","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
NA,"233 St","BX","2/5","EL194","EL","MEZZANINE TO PLATFORM","Y"
NA,"233 St","BX","2/5","EL193","EL","MEZZANINE TO UPTOWN","Y"
NA,"233 St","BX","2/5","EL192","EL","STREET TO MEZZANINE","Y"
NA,"28 St","MN","6","EL279X","EL","STREET TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES221","ES","MALL LANDING TO STREET","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES222","ES","MALL LANDING TO STREET","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES233","ES","MEZZANINE AND UPTOWN","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL211","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL209","EL","MEZZANINE TO DOWNTOWN","Y"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES224","ES","MEZZANINE TO MALL LANDING","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES223","ES","MEZZANINE TO MALL LANDING","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL210","EL","MEZZANINE TO UPTOWN","Y"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL212","EL","MEZZANINE TO UPTOWN","Y"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES230","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES229","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES234","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES232","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES236","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES235","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES231","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL213","EL","STREET TO MEZZANINE","Y"
NA,"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL200X","EL","STREET TO PATH TRAIN","N"
NA,"34 St - Hudson Yards","MN","7","ES623","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"34 St - Hudson Yards","MN","7","EL601","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y"
NA,"34 St - Hudson Yards","MN","7","EL602","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y"
NA,"34 St - Hudson Yards","MN","7","ES624","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"34 St - Hudson Yards","MN","7","ES621","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"34 St - Hudson Yards","MN","7","ES625","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"34 St - Hudson Yards","MN","7","ES622","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
NA,"34 St - Hudson Yards","MN","7","EL600","EL","PLATFORM TO LOWER MEZZANINE","Y"
NA,"34 St - Hudson Yards","MN","7","ES627","ES","UPPER MEZZANINE TO STREET","N"
NA,"34 St - Hudson Yards","MN","7","ES626","ES","UPPER MEZZANINE TO STREET","N"
NA,"34 St - Hudson Yards","MN","7","ES629","ES","UPPER MEZZANINE TO STREET","N"
NA,"34 St - Hudson Yards","MN","7","ES628","ES","UPPER MEZZANINE TO STREET","N"
NA,"34 St - Hudson Yards","MN","7","EL603","EL","UPPER MEZZANINE TO STREET","Y"
NA,"34 St - Penn","MN","1/2/3/LIRR","EL216","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y"
NA,"34 St - Penn","MN","A/C/E","EL228","EL","MEZZANINE TO DOWNTOWN LOCAL PLATFORM","Y"
NA,"34 St - Penn","MN","A/C/E","EL227","EL","MEZZANINE TO EXPRESS PLATFORM","Y"
NA,"34 St - Penn","MN","1/2/3/LIRR","EL215","EL","MEZZANINE TO EXPRESS PLATFORM","Y"
NA,"34 St - Penn","MN","1/2/3/LIRR","EL214","EL","MEZZANINE TO UPTOWN LOCAL PLATFORM","Y"
NA,"34 St - Penn","MN","A/C/E","EL225","EL","STREET TO UPTOWN LOCAL PLATFORM","Y"
