"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","E/J/Z/LIRR","EL449X","EL","STREET TO TA MEZZANINE AND LIRR OVERPASS","Y"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","E/J/Z/LIRR","EL448X","EL","STREET TO TA MEZZANINE AND LIRR OVERPASS","Y"
"Sutphin Blvd - Archer Av - JFK Airport","QNS","E/J/Z/LIRR","EL454","EL","YARD TO STORAGE ROOM","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES217","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / 7 AVE)","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES216","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / 7 AVE)","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES218","ES","CENTER ISLAND PLATFORM TO MEZZANINE (41 ST / BWAY)","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","EL233","EL","MEZZANINE AND UPTOWN 1,2,3 TRAINS PLATFORM","Y"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","EL229","EL","MEZZANINE TO DOWNTOWN","Y"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","EL232","EL","MEZZANINE TO DOWNTOWN PLATFORM & 7 PLATFORM","Y"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","EL230","EL","MEZZANINE TO UPTOWN","Y"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES267X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES261X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES262X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","EL231X","EL","STREET TO MEZZANINE ALL TRAINS","N"
"Times Sq - 42 St","MN","N/Q/R/S/W/1/2/3/7","ES268X","ES","STREET TO MEZZANINE ALL TRAINS","N"
"Utica Av","BKN","A/C","EL345","EL","NORTHBOUND PLATFORM TO MEZZANINE","Y"
"Utica Av","BKN","A/C","EL346","EL","SOUTHBOUND PLATFORM TO MEZZANINE","Y"
"Utica Av","BKN","A/C","EL344","EL","STREET TO MEZZANINE","Y"
"Wall St","MN","2/3","ES379X","ES","60 WALL STREET ATRIUM TO MEZZANINE 2/3 TRAIN PASSAGEWAY","N"
"Wall St","MN","2/3","ES378X","ES","60 WALL STREET ATRIUM TO MEZZANINE 2/3 TRAIN PASSAGEWAY","N"
"W 4 St","MN","A/B/C/D/E/F/M","EL334","EL","MIDDLE MEZZANINE TO DOWNTOWN PLATFORMS","Y"
"W 4 St","MN","A/B/C/D/E/F/M","EL335","EL","MIDDLE MEZZANINE TO UPTOWN PLATFORMS","Y"
"W 4 St","MN","A/B/C/D/E/F/M","ES325","ES","NORTHBOUND LL PLATFORM TO NORTHBOUND UL PLATFORM","N"
"W 4 St","MN","A/B/C/D/E/F/M","ES326","ES","SOUTHBOUND LL PLATFORM TO SOUTHBOUND UL PLATFORM","N"
"W 4 St","MN","A/B/C/D/E/F/M","EL333","EL","STREET TO MEZZANINE","Y"
"W 8 St - NY Aquarium","BKN","F/Q","ES335","ES","MEZZANINE TO NORTHBOUND UL PLATFORM","N"
"West Farms Sq - E Tremont Av","BX","2/5","ES106","ES","STREET TO MEZZANINE","N"
"Whitehall St - South Ferry","MN","R/W","ES351","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Whitehall St - South Ferry","MN","R/W","ES312","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"Whitehall St - South Ferry","MN","R/W","ES311","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
