"station","borough","trainno","equipmentno","equipmenttype","serving","ADA"
"21 St - Queensbridge","QNS","F","ES424","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"21 St - Queensbridge","QNS","F","ES423","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"21 St - Queensbridge","QNS","F","EL405","EL","STREET TO MEZZANINE","Y"
"23 St","MN","6","EL298","EL","NORTHBOUND PLATFORM TO STREET","Y"
"23 St","MN","6","EL299","EL","SOUTHBOUND PLATFORM TO STREET","Y"
"231 St","BX","1","EL185","EL","STREET TO MEZZANINE & UPTOWN PLATFORM","Y"
"231 St","BX","1","EL184","EL","STREET TO MEZZANINE AND DOWNTOWN PLATFORM","Y"
"233 St","BX","2/5","EL194","EL","MEZZANINE TO PLATFORM","Y"
"233 St","BX","2/5","EL193","EL","MEZZANINE TO UPTOWN","Y"
"233 St","BX","2/5","EL192","EL","STREET TO MEZZANINE","Y"
"28 St","MN","6","EL279X","EL","STREET TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES221","ES","MALL LANDING TO STREET","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES222","ES","MALL LANDING TO STREET","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES233","ES","MEZZANINE AND UPTOWN","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL211","EL","MEZZANINE TO DOWNTOWN","Y"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL209","EL","MEZZANINE TO DOWNTOWN","Y"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES224","ES","MEZZANINE TO MALL LANDING","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES223","ES","MEZZANINE TO MALL LANDING","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL210","EL","MEZZANINE TO UPTOWN","Y"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL212","EL","MEZZANINE TO UPTOWN","Y"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES230","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES229","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES234","ES","NORTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES232","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES236","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES235","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","ES231","ES","SOUTHBOUND PLATFORM TO MEZZANINE","N"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL213","EL","STREET TO MEZZANINE","Y"
"34 St - Herald Sq","MN","B/D/F/M/N/Q/R/W","EL200X","EL","STREET TO PATH TRAIN","N"
"34 St - 11 Av","MN","7","ES623","ES","LOWER MEZZANINE TO UPPER MEZZANINE","N"
"34 St - 11 Av","MN","7","EL601","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y"
"34 St - 11 Av","MN","7","EL602","EL","LOWER MEZZANINE TO UPPER MEZZANINE","Y"
