,tweet_id,date_time,text,date,station,equipment,area,outage
2997,8.42052e+17,3/15/17 16:38,FIXED: An elevator @ 191st St servicing Street To Mezzanine / Mezzanine To Platform is in service,2017-03-15,,elevator,street to mezzanine,False
2998,8.42052e+17,3/15/17 16:38,FIXED: An escalator @ Herald Sq - 34th St servicing Southbound Platform To Mezzanine is in service,2017-03-15,,escalator,,False
2999,8.42052e+17,3/15/17 16:38,FIXED: An elevator @ Queens Plz (Corner of Queens Plaza South and Jackson Avenue) servicing Street To Mezzanine is in service,2017-03-15,Queens Plaza,elevator,street to mezzanine,False
3000,8.42042e+17,3/15/17 15:58,OUTAGE: An escalator servicing Platform To Mezzanine @  is out of service.,2017-03-15,,escalator,,True
3001,8.4204e+17,3/15/17 15:48,FIXED: An escalator @ Flushing - Main St servicing Street To Mezzanine is in service,2017-03-15,,escalator,street to mezzanine,False
3002,8.42032e+17,3/15/17 15:18,That elevator services Street To Mezzanine,2017-03-15,,elevator,street to mezzanine,False
3003,8.42032e+17,3/15/17 15:18,OUTAGE: An elevator @ Kew Gardens - Union Tpke (SE corner of Union Turnpike and Kew Gardens Road) is out of service.,2017-03-15,,elevator,,True
3004,8.42032e+17,3/15/17 15:18,OUTAGE: An escalator servicing Lower Mezzanine To Southbound Platform @ Bowling Green is out of service.,2017-03-15,Bowling Green,escalator,,True
3005,8.4203e+17,3/15/17 15:09,FIXED: An escalator @ 5th Ave - 53rd St servicing Southbound Platform To Mezzanine is in service,2017-03-15,,escalator,,False
3006,8.4203e+17,3/15/17 15:09,FIXED: An escalator @ Grand Central - 42nd St servicing Lower Mezzanine To Upper Mezzanine (Bowery) is in service,2017-03-15,Bowery,escalator,,False
3007,8.4203e+17,3/15/17 15:09,FIXED: An escalator @ Grand Central - 42nd St servicing Upper Mezzanine To Street (Gc Terminal) is in service,2017-03-15,,escalator,,False
3008,8.42027e+17,3/15/17 14:58,FIXED: An escalator @ Grand Central - 42nd St servicing Lower Mezzanine To Street (3rd Ave) is in service,2017-03-15,,escalator,,False
3009,8.42027e+17,3/15/17 14:58,FIXED: An elevator @ 57th St - 7 Av servicing Mezzanine To Street is in service,2017-03-15,7 Av,elevator,,False
3010,8.42027e+17,3/15/17 14:58,OUTAGE: An escalator servicing Southbound Platform To Mezzanine @ 5th Ave - 53rd St is out of service.,2017-03-15,,escalator,,True
3011,8.42027e+17,3/15/17 14:58,OUTAGE: An escalator servicing Upper Mezzanine To Street (Gc Terminal) @ Grand Central - 42nd St is out of service.,2017-03-15,,escalator,,True
3012,8.42027e+17,3/15/17 14:58,OUTAGE: An escalator servicing Lower Mezzanine To Upper Mezzanine (Bowery) @ Grand Central - 42nd St is out of service.,2017-03-15,Bowery,escalator,,True
3013,8.42025e+17,3/15/17 14:48,FIXED: An elevator @ Flushing - Main St (Roosevelt Avenue east of Main Street) servicing Street To Mezzanine &amp;Platforms is in service,2017-03-15,,elevator,street to mezzanine,False
3014,8.42025e+17,3/15/17 14:48,"FIXED: An elevator @ Grand Central - 42nd St servicing Mezzanine To Downtown 4,5,6 Platform is in service",2017-03-15,,elevator,mezzanine to downtown,False
