rowid,mta_name,mta_lines,mta_id,spacer,nyca_name,nyca_lines,nyca_id
231,Canal St,N-Q,435,,,,436
232,Canal St,R-W,417,,,,436
233,Canal St - Holland Tunnel,A-C-E,410,,Canal St,"('A', 'C', 'E')",411
234,Canarsie - Rockaway Pkwy,L,219,,Canarsie - Rockaway Pkwy,"('L',)",189
235,Carroll St,F-G,394,,Carroll St,"('F', 'G')",395
236,Castle Hill Ave,6-6 Express,28,,Castle Hill Ave,"('6', '6e')",26
237,Cathedral Pkwy (110th St),1,166,,Cathedral Pkwy (110th St),"('1',)",117
238,Cathedral Pkwy (110th St),A-B-C,7,,Cathedral Pkwy (110th St),"('B', 'C')",109
239,Central Ave,M,302,,Central Ave,"('M',)",299
240,Central Park North (110th St),3-Feb,160,,Central Park North (110th St),"('2', '3')",107
241,Chambers St,1/2/03,404,,Chambers St,"('1', '2', '3')",405
242,Chambers St,A-C,361,,Chambers St,"('A', 'C')",362
243,Chambers St,J-Z,414,,Chambers St,"('J', 'Z')",415
244,Chauncey St,J-Z,35,,Chauncey St,"('J', 'Z')",195
245,Christopher St - Sheridan Sq,2-Jan,195,,Christopher St - Sheridan Sq,"('1',)",152
246,Church Ave,5-Feb,131,,Church Ave,"('2', '5')",67
247,Church Ave,B-Q,112,,Church Ave,"('B', 'Q')",43
248,Church Ave,F-G,110,,Church Ave,"('F', 'G')",41
249,City Hall,R-W,416,,City Hall,"('R',)",417
250,Clark St,3-Feb,446,,Clark St,"('2', '3')",447
251,Classon Ave,G,70,,Classon Ave,"('G',)",36
252,Cleveland St,J,215,,Cleveland St,"('J',)",184
253,Clinton - Washington Aves,A-C,448,,Clinton - Washington Aves,"('C',)",449
254,Clinton - Washington Aves,G,119,,Clinton - Washington Aves,"('G',)",52
255,Coney Island - Stillwell Av,D-F-N-Q,469,,Coney Island - Stillwell Av,"('D', 'F', 'N', 'Q')",470
256,Cortelyou Rd,Q,461,,Cortelyou Rd,"('Q',)",462
257,Cortlandt St,1,426,,Cortlandt St,"('R',)",430
258,Cortlandt St,R-W,429,,Cortlandt St (Temporarily Closed),"('1',)",427
259,Court Sq,7-7 Express,93,,Court Sq,"('7', '7e', 'G')",14
260,Court Sq - 23rd St,E-M,66,,Court Sq - 23 St,"('E', 'M')",98
261,Court St,N-R,378,,Court St,"('R',)",379
262,Crescent St,J-Z,227,,Crescent St,"('J', 'Z')",201
263,Crown Hts - Utica Ave,4-Mar,135,,Crown Hts - Utica Ave,"('3', '4')",72
264,Cypress Ave,6,255,,Cypress Ave,"('6',)",237
265,Cypress Hills,J,228,,Cypress Hills,"('J',)",202
266,DeKalb Ave,B-D-N-Q-R,15,,DeKalb Ave,"('B', 'Q', 'R')",59
267,DeKalb Ave,L,235,,DeKalb Ave,"('L',)",210
268,Delancey St - Essex St,F,370,,Delancey St - Essex St,"('F', 'J', 'M', 'Z')",371
269,Delancey St - Essex St,J-M-Z,11,,,,371
270,Ditmas Ave,F,69,,Ditmas Ave,"('F',)",307
271,Dyckman St,1,286,,Dyckman St,"('1',)",277
272,Dyckman St,A,431,,Dyckman St,"('A',)",432
273,E 105th St,L,220,,E 105th St,"('L',)",190
274,E 143rd St - St Mary's St,6,258,,E 143rd St - St Mary's St,"('6',)",243
275,E 149th St,6,50,,E 149th St,"('6',)",153
276,E 180th St,5-Feb,285,,E 180th St,"('2', '5')",276
277,East Broadway,F,369,,East Broadway,"('F',)",370
278,Eastchester - Dyre Ave,5,278,,Eastchester - Dyre Ave,"('5',)",268
279,Eastern Pkwy - Bklyn Museum,2/3/04,129,,Eastern Pkwy - Bklyn Museum,"('2', '3')",64
280,Elder Ave,6,249,,Elder Ave,"('6',)",230
281,Elmhurst Ave,E-M-R,37,,Elmhurst Ave,"('M', 'R')",218
282,Euclid Ave,A-C-S,459,,Euclid Ave,"('A', 'C')",460
283,Far Rockaway - Mott Ave,A,55,,Far Rockaway - Mott Ave,"('A',)",194
284,Flushing - Main St,7-7 Express,25,,Flushing - Main St,"('7', '7e')",159
285,Flushing Ave,G,364,,Flushing Ave,"('G',)",365
286,Flushing Ave,J-M,372,,Flushing Ave,"('J', 'M')",373
287,Fordham Rd,4,408,,Fordham Rd,"('4',)",409
288,Fordham Rd,B-D,263,,Fordham Rd,"('B', 'D')",248
289,Forest Ave,M,449,,Forest Ave,"('M',)",450
290,Forest Hills - 71st Av,E-F-M-R,245,,Forest Hills - 71st Av,"('E', 'F', 'M', 'R')",223
291,Franklin Ave,2-3-4-5,42,,Franklin Ave,"('2', '3', '4', '5')",65
292,Franklin Ave,A-C,447,,Franklin Ave,"('S', 'C')",280
293,Franklin Ave - Fulton St,S,288,,,,280
294,Franklin St,2-Jan,464,,Franklin St,"('1',)",465
295,Freeman St,5-Feb,18,,Freeman St,"('2', '5')",228
296,Fresh Pond Rd,M,423,,Fresh Pond Rd,"('M',)",424
297,Ft Hamilton Pkwy,D,392,,Ft Hamilton Pkwy,"('D',)",393
298,Ft Hamilton Pkwy,F-G,109,,Ft Hamilton Pkwy,"('F', 'G')",40
299,Ft Hamilton Pkwy,N,312,,Ft Hamilton Pkwy,"('N',)",312
300,Fulton St,3-Feb,402,,Fulton St,"('A', 'C', 'J', 'Z', '2', '3', '4', '5')",414
301,Fulton St,5-Apr,427,,,,414
302,Fulton St,A-C,360,,,,414
303,Fulton St,G,118,,Fulton St,"('G',)",51
304,Fulton St,J-Z,413,,,,414
305,Gates Ave,J-Z,301,,Gates Ave,"('J', 'Z')",298
306,Graham Ave,L,150,,Graham Ave,"('L',)",92
307,Grand Army Plaza,2/3/04,115,,Grand Army Plaza,"('2', '3')",47
308,Grand Ave - Newtown,E-M-R,68,,Grand Ave - Newtown,"('M', 'R')",217
309,Grand Central - 42nd St,4-5-6-6 Express,31,,Grand Central - 42nd St,"('4', '5', '6', '6e', 'S', '7', '7e', 'mn')",471
310,Grand Central - 42nd St,7-7 Express,204,,,,471
311,Grand Central - 42nd St,S,81,,,,471
312,Grand St,B-D,432,,Grand St,"('B', 'D')",433
313,Grand St,L,149,,Grand St,"('L',)",91
314,Grant Ave,A-S,192,,Grant Ave,"('A',)",149
315,Gravesend - 86th St,N,336,,Gravesend - 86th St,"('N',)",337
316,Greenpoint Ave,G,138,,Greenpoint Ave,"('G',)",76
317,Gun Hill Rd,5-Feb,40,,Gun Hill Rd,"('2', '5')",262
318,Gun Hill Rd,5,284,,Gun Hill Rd,"('5',)",275
319,Halsey St,J,75,,Halsey St,"('J',)",197
320,Halsey St,L,211,,Halsey St,"('L',)",177
321,Harlem - 148 St,3,261,,Harlem - 148 St,"('3',)",246
322,Herald Sq - 34th St,B-D-F-M,366,,Herald Sq - 34th St,"('N', 'Q', 'R', 'B', 'D', 'F', 'M')",84
323,Herald Sq - 34th St,N-Q-R-W,145,,,,84
324,Hewes St,J-M,140,,Hewes St,"('J', 'M')",78
325,High St,A-C,453,,High St,"('A', 'C')",454
326,Houston St,2-Jan,97,,Houston St,"('1',)",21
