,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
349,5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine (Madison Ave),OUTAGE,2017-03-30 18:58:35,,,
255,5th Ave - 53rd St,An escalator,,Southbound Platform To Mezzanine (Madison Ave),OUTAGE,2017-03-31 04:48:45,FIXED,2017-03-31 07:38:26,0 days 02:49:41.000000000
2867,66th St - Lincoln Ctr,An elevator,Southeast corner of 66th Street and Broadway,,OUTAGE,2017-03-16 06:28:41,FIXED,2017-03-16 06:58:26,0 days 00:29:45.000000000
1228,66th St - Lincoln Ctr,An elevator,Southwest corner of 66th Street and Broadway,,OUTAGE,2017-03-25 16:28:45,,,
1001,66th St - Lincoln Ctr,An elevator,Southwest corner of 66th Street and Broadway,Street To Mezzanine And Downtown Platform,FIXED,2017-03-27 09:28:33,,,
2963,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),,FIXED,2017-03-15 16:58:35,FIXED,2017-03-18 04:28:19,2 days 11:29:44.000000000
2003,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),,OUTAGE,2017-03-21 12:18:35,FIXED,2017-03-21 14:28:45,0 days 02:10:10.000000000
151,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),,OUTAGE,2017-03-31 17:28:57,FIXED,2017-03-31 19:18:32,0 days 01:49:35.000000000
3007,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-15 11:38:26,,,
1519,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-24 00:48:35,,,
2549,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Uptown Platform,OUTAGE,2017-03-18 02:08:25,,,
284,72nd St,An elevator,North side of 72nd Street between Broadway and Amsterdam Avenue (Inside station house),Street To Uptown Platform,OUTAGE,2017-03-31 00:58:21,,,
3093,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-15 03:28:16,FIXED,2017-03-15 08:08:40,0 days 04:40:24.000000000
2880,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-16 05:18:33,FIXED,2017-03-16 08:48:23,0 days 03:29:50.000000000
2667,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 07:28:14,FIXED,2017-03-17 09:18:39,0 days 01:50:25.000000000
2354,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-19 09:38:43,FIXED,2017-03-19 10:28:22,0 days 00:49:39.000000000
2241,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-20 06:28:41,FIXED,2017-03-20 07:58:32,0 days 01:29:51.000000000
1957,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-21 18:38:46,FIXED,2017-03-21 19:38:48,0 days 01:00:02.000000000
1857,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 06:38:48,FIXED,2017-03-22 08:48:42,0 days 02:09:54.000000000
1723,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-23 00:48:40,FIXED,2017-03-23 02:18:40,0 days 01:30:00.000000000
1660,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-23 06:48:38,FIXED,2017-03-23 08:08:41,0 days 01:20:03.000000000
1471,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-24 06:18:33,FIXED,2017-03-24 09:08:38,0 days 02:50:05.000000000
1405,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-24 14:38:46,FIXED,2017-03-24 18:09:02,0 days 03:30:16.000000000
1017,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-27 08:08:58,FIXED,2017-03-27 10:38:23,0 days 02:29:25.000000000
869,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-28 03:48:41,FIXED,2017-03-28 04:58:51,0 days 01:10:10.000000000
764,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-28 18:48:51,FIXED,2017-03-28 19:48:48,0 days 00:59:57.000000000
83,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-04-01 03:38:49,FIXED,2017-04-01 05:58:42,0 days 02:19:53.000000000
42,7th Ave,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-04-01 06:48:50,,,
2374,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),,FIXED,2017-03-19 06:48:44,FIXED,2017-03-22 19:38:37,3 days 12:49:53.000000000
2404,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-19 00:58:33,,,
1803,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-22 13:58:56,,,
1663,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-23 06:38:29,,,
1491,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-24 04:08:21,,,
1305,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Downtown Platform,OUTAGE,2017-03-25 03:18:54,,,
489,96th St,An elevator,Either south side of 96th Street and north side of 95th Street (Inside station house),Street To Uptown Platform,OUTAGE,2017-03-30 03:58:41,,,
1280,Atlantic Ave,An elevator,,"Mezzanine To 4, 5 Platform",OUTAGE,2017-03-25 06:28:18,FIXED,2017-03-25 08:58:38,0 days 02:30:20.000000000
728,Atlantic Ave,An elevator,,"Mezzanine To 4, 5 Platform",OUTAGE,2017-03-28 22:08:36,FIXED,2017-03-29 01:58:50,0 days 03:50:14.000000000
1299,Atlantic Ave,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-25 03:48:38,FIXED,2017-03-25 06:09:04,0 days 02:20:26.000000000
732,Atlantic Ave,An elevator,,"Mezzanine To Downtown 2,3 Platform",OUTAGE,2017-03-28 21:58:39,FIXED,2017-03-28 22:38:33,0 days 00:39:54.000000000
3085,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-03-15 04:08:42,FIXED,2017-03-15 09:38:46,0 days 05:30:04.000000000
2894,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:43,0 days 05:10:21.000000000
2066,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-03-21 03:58:25,FIXED,2017-03-21 09:08:32,0 days 05:10:07.000000000
669,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-03-29 04:08:47,FIXED,2017-03-29 09:09:04,0 days 05:00:17.000000000
259,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-03-31 04:08:29,FIXED,2017-03-31 08:48:38,0 days 04:40:09.000000000
76,Atlantic Ave,An elevator,,"Middle Mezzanine To B,Q Platform",OUTAGE,2017-04-01 04:18:46,FIXED,2017-04-01 08:48:49,0 days 04:30:03.000000000
1970,Atlantic Ave,An elevator,,Street To Mezzanine,OUTAGE,2017-03-21 17:09:20,FIXED,2017-03-22 01:48:22,0 days 08:39:02.000000000
932,Atlantic Ave,An elevator,,"Uptown 2, 3 Platform To Mezzanine",OUTAGE,2017-03-27 19:58:36,FIXED,2017-03-27 22:58:55,0 days 03:00:19.000000000
3161,Atlantic Ave,An elevator,Pacific Street and Fourth Avenue,Street to D/N/R,FIXED,2017-03-14 18:18:50,,,
1489,Atlantic Ave,An elevator,Pacific Street and Fourth Avenue,Street to D/N/R,OUTAGE,2017-03-24 04:08:22,FIXED,2017-03-24 08:48:46,0 days 04:40:24.000000000
980,Atlantic Ave,An elevator,Pacific Street and Fourth Avenue,Street to D/N/R,OUTAGE,2017-03-27 12:38:31,FIXED,2017-03-27 17:08:56,0 days 04:30:25.000000000
1607,Atlantic Ave,An escalator,,Lower Mezzanine To Street,OUTAGE,2017-03-23 10:48:53,FIXED,2017-03-23 19:48:49,0 days 08:59:56.000000000
1428,Atlantic Ave,An escalator,,Lower Mezzanine To Street,OUTAGE,2017-03-24 09:38:22,FIXED,2017-03-24 17:08:38,0 days 07:30:16.000000000
206,Atlantic Ave,An escalator,,Lower Mezzanine To Street,OUTAGE,2017-03-31 09:28:19,FIXED,2017-03-31 17:09:08,0 days 07:40:49.000000000
1665,Atlantic Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 06:28:18,FIXED,2017-03-23 08:18:38,0 days 01:50:20.000000000
1495,Atlantic Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-24 03:58:44,FIXED,2017-03-24 05:58:34,0 days 01:59:50.000000000
1024,Atlantic Ave,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 07:08:52,FIXED,2017-03-27 07:58:34,0 days 00:49:42.000000000
1606,Atlantic Ave,An escalator,,Street To Mezzanine,OUTAGE,2017-03-23 10:48:54,FIXED,2017-03-23 23:48:22,0 days 12:59:28.000000000
1427,Atlantic Ave,An escalator,,Street To Mezzanine,OUTAGE,2017-03-24 09:38:22,FIXED,2017-03-24 17:08:37,0 days 07:30:15.000000000
3169,Bay Pky,An elevator,,Mezzanine To Downtown,FIXED,2017-03-14 17:38:27,,,
1465,Bay Pky,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-24 07:09:03,FIXED,2017-03-24 07:58:40,0 days 00:49:37.000000000
3170,Bay Pky,An elevator,,Mezzanine To Uptown,FIXED,2017-03-14 17:38:27,,,
3171,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,FIXED,2017-03-14 17:28:44,,,
3001,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-15 12:08:29,FIXED,2017-03-15 18:18:27,0 days 06:09:58.000000000
2747,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-16 21:18:30,FIXED,2017-03-17 06:08:26,0 days 08:49:56.000000000
2545,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-18 02:48:23,FIXED,2017-03-18 04:48:31,0 days 02:00:08.000000000
2007,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-21 11:38:53,FIXED,2017-03-21 15:09:45,0 days 03:30:52.000000000
1815,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-22 12:28:40,FIXED,2017-03-22 16:09:15,0 days 03:40:35.000000000
1508,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-24 02:38:44,FIXED,2017-03-24 06:48:33,0 days 04:09:49.000000000
1103,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-26 20:48:45,FIXED,2017-03-27 00:09:20,0 days 03:20:35.000000000
772,Bay Pky,An elevator,NW corner of Bay Parkway and 86th Street,Street To Mezzanine,OUTAGE,2017-03-28 17:18:50,FIXED,2017-03-29 04:28:26,0 days 11:09:36.000000000
3033,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-15 09:28:31,FIXED,2017-03-17 02:58:18,1 days 17:29:47.000000000
2391,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-19 03:38:28,FIXED,2017-03-19 04:38:37,0 days 01:00:09.000000000
2275,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-20 00:48:31,FIXED,2017-03-20 04:38:24,0 days 03:49:53.000000000
991,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-27 10:38:21,FIXED,2017-03-27 18:58:31,0 days 08:20:10.000000000
868,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-28 03:58:52,,,
487,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-30 03:58:41,FIXED,2017-03-30 08:38:43,0 days 04:40:02.000000000
188,Borough Hall,An elevator,,Mezzanine To Uptown And Downtown Platforms,OUTAGE,2017-03-31 13:18:26,FIXED,2017-03-31 13:48:46,0 days 00:30:20.000000000
957,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,,FIXED,2017-03-27 16:28:44,,,
828,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,,OUTAGE,2017-03-28 07:38:45,FIXED,2017-03-28 08:38:42,0 days 00:59:57.000000000
614,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,,OUTAGE,2017-03-29 11:08:44,FIXED,2017-03-29 14:58:50,0 days 03:50:06.000000000
3133,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine,FIXED,2017-03-14 21:18:22,,,
1703,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine,OUTAGE,2017-03-23 03:58:37,FIXED,2017-03-23 04:38:47,0 days 00:40:10.000000000
979,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine,OUTAGE,2017-03-27 13:18:38,,,
363,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine,OUTAGE,2017-03-30 17:28:44,FIXED,2017-03-30 18:38:48,0 days 01:10:04.000000000
180,Borough Hall,An elevator,In front of Supreme Court Building at Court Street and Montague Street,Street To Mezzanine,OUTAGE,2017-03-31 13:48:45,,,
2866,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-16 06:38:30,FIXED,2017-03-16 07:08:30,0 days 00:30:00.000000000
2633,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-17 14:38:27,FIXED,2017-03-17 16:18:22,0 days 01:39:55.000000000
1790,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-22 15:10:06,,,
1688,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-23 04:38:45,FIXED,2017-03-23 05:09:01,0 days 00:30:16.000000000
1023,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-27 07:38:32,FIXED,2017-03-27 08:58:30,0 days 01:19:58.000000000
939,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-27 19:09:09,,,
844,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-28 05:29:06,FIXED,2017-03-28 07:38:46,0 days 02:09:40.000000000
659,Borough Hall,An escalator,,Southbound Platform To Mezzanine,OUTAGE,2017-03-29 05:08:34,FIXED,2017-03-29 11:58:21,0 days 06:49:47.000000000
1348,Bowery,An escalator,,Center Island Platform To Mezzanine,OUTAGE,2017-03-24 21:08:27,FIXED,2017-03-24 22:38:37,0 days 01:30:10.000000000
2248,Bowling Green,An elevator,NE corner of Broadway and Battery Place,,OUTAGE,2017-03-20 05:08:56,,,
3194,Bowling Green,An elevator,NE corner of Broadway and Battery Place,Street To Mezzanine &amp; Uptown Platform,FIXED,2017-03-14 16:09:00,,,
2903,Bowling Green,An elevator,NE corner of Broadway and Battery Place,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-16 03:08:27,FIXED,2017-03-16 04:28:32,0 days 01:20:05.000000000
640,Bowling Green,An elevator,NE corner of Broadway and Battery Place,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-29 08:48:49,FIXED,2017-03-29 09:18:50,0 days 00:30:01.000000000
2742,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-16 21:28:34,FIXED,2017-03-17 01:28:28,0 days 03:59:54.000000000
2586,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-17 21:18:30,FIXED,2017-03-17 21:58:28,0 days 00:39:58.000000000
2097,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-21 00:58:28,FIXED,2017-03-21 04:28:31,0 days 03:30:03.000000000
2000,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-21 13:08:47,,,
1893,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-22 03:09:58,FIXED,2017-03-22 04:58:26,0 days 01:48:28.000000000
1798,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-22 14:38:23,,,
1164,Bowling Green,An escalator,,Lower Mezzanine To Northbound Platform,OUTAGE,2017-03-26 05:08:31,FIXED,2017-03-26 07:28:20,0 days 02:19:49.000000000
3025,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-15 09:58:29,FIXED,2017-03-15 11:18:25,0 days 01:19:56.000000000
2974,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-15 15:18:22,,,
2741,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-16 21:28:34,FIXED,2017-03-16 23:28:25,0 days 01:59:51.000000000
2335,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-19 12:48:47,FIXED,2017-03-20 22:48:34,1 days 09:59:47.000000000
2114,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-20 22:58:48,,,
2096,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-21 00:58:28,,,
1907,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-22 01:28:45,FIXED,2017-03-22 02:48:43,0 days 01:19:58.000000000
1805,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-22 13:48:47,FIXED,2017-03-22 15:10:10,0 days 01:21:23.000000000
1683,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-23 04:58:28,FIXED,2017-03-23 09:18:53,0 days 04:20:25.000000000
1587,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-23 13:38:51,FIXED,2017-03-23 16:38:22,0 days 02:59:31.000000000
1163,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-26 05:08:31,FIXED,2017-03-26 07:28:19,0 days 02:19:48.000000000
1082,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-26 23:58:28,FIXED,2017-03-27 02:48:21,0 days 02:49:53.000000000
240,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-31 05:38:33,FIXED,2017-03-31 07:58:26,0 days 02:19:53.000000000
125,Bowling Green,An escalator,,Lower Mezzanine To Southbound Platform,OUTAGE,2017-03-31 20:48:41,FIXED,2017-03-31 23:28:33,0 days 02:39:52.000000000
3117,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 00:28:15,FIXED,2017-03-15 01:28:27,0 days 01:00:12.000000000
2966,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 16:48:36,FIXED,2017-03-15 20:08:40,0 days 03:20:04.000000000
2780,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 17:58:42,FIXED,2017-03-17 00:58:34,0 days 06:59:52.000000000
2128,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-20 21:38:48,FIXED,2017-03-20 23:28:44,0 days 01:49:56.000000000
1911,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 00:58:46,FIXED,2017-03-22 05:28:36,0 days 04:29:50.000000000
1520,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-24 00:38:21,FIXED,2017-03-24 03:58:45,0 days 03:20:24.000000000
388,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 13:28:56,FIXED,2017-03-30 15:28:49,0 days 01:59:53.000000000
329,Bowling Green,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 20:38:51,FIXED,2017-03-30 22:38:35,0 days 01:59:44.000000000
1241,Bowling Green,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-25 12:18:48,FIXED,2017-03-25 15:08:58,0 days 02:50:10.000000000
1158,Bowling Green,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-26 05:38:37,FIXED,2017-03-26 09:28:37,0 days 03:50:00.000000000
1106,Bowling Green,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-26 19:58:44,FIXED,2017-03-26 23:09:07,0 days 03:10:23.000000000
421,Bowling Green,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-30 09:38:25,FIXED,2017-03-30 11:48:46,0 days 02:10:21.000000000
328,Bowling Green,An escalator,,Upper Mezzanine To Street,OUTAGE,2017-03-30 20:38:51,FIXED,2017-03-30 21:58:47,0 days 01:19:56.000000000
3143,Brighton Beach,An escalator,,Street To Mezzanine,FIXED,2017-03-14 20:38:34,,,
3130,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-14 21:38:32,,,
3009,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-15 11:28:30,FIXED,2017-03-16 09:18:16,0 days 21:49:46.000000000
2829,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-16 10:28:46,FIXED,2017-03-17 08:48:21,0 days 22:19:35.000000000
1931,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-21 21:28:36,FIXED,2017-03-22 00:28:36,0 days 03:00:00.000000000
1807,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-22 13:28:39,FIXED,2017-03-22 23:08:30,0 days 09:39:51.000000000
1693,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-23 04:28:43,FIXED,2017-03-23 09:08:54,0 days 04:40:11.000000000
1514,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-24 01:18:34,FIXED,2017-03-24 02:58:37,0 days 01:40:03.000000000
1486,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-24 04:28:47,FIXED,2017-03-24 16:58:52,0 days 12:30:05.000000000
1357,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-24 19:38:30,,,
1298,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-25 03:48:38,FIXED,2017-03-25 08:58:39,0 days 05:10:01.000000000
759,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-28 19:28:31,FIXED,2017-03-28 19:38:32,0 days 00:10:01.000000000
577,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-29 16:38:23,FIXED,2017-03-29 21:18:29,0 days 04:40:06.000000000
479,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-30 04:18:40,FIXED,2017-03-30 09:18:28,0 days 04:59:48.000000000
356,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-30 17:38:30,FIXED,2017-03-30 22:38:35,0 days 05:00:05.000000000
119,Brighton Beach,An escalator,,Street To Mezzanine,OUTAGE,2017-03-31 21:38:24,,,
52,Broadway - Lafayette St&amp; Bleecker St,An elevator,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform,FIXED,2017-04-01 05:38:35,,,
2705,Broadway - Lafayette St&amp; Bleecker St,An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,FIXED,2017-03-17 03:28:27,FIXED,2017-03-17 23:28:30,0 days 20:00:03.000000000
2589,Broadway - Lafayette St&amp; Bleecker St,An escalator,,Northbound Platform To Mezzanine,FIXED,2017-03-17 20:38:38,FIXED,2017-03-20 14:18:28,2 days 17:39:50.000000000
58,"Broadway - Lafayette St, Bleecker St",An elevator,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform,OUTAGE,2017-04-01 05:18:48,,,
2753,"Broadway - Lafayette St, Bleecker St",An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,OUTAGE,2017-03-16 20:48:34,,,
2584,"Broadway - Lafayette St, Bleecker St",An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,OUTAGE,2017-03-17 21:28:14,,,
2553,"Broadway - Lafayette St, Bleecker St",An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,OUTAGE,2017-03-18 01:08:20,,,
1291,"Broadway - Lafayette St, Bleecker St",An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,OUTAGE,2017-03-25 04:28:45,,,
75,"Broadway - Lafayette St, Bleecker St",An elevator,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform,OUTAGE,2017-04-01 04:18:46,,,
2593,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-17 19:58:28,,,
2194,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-20 13:08:54,,,
1746,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-22 20:38:56,,,
1550,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-23 20:48:25,,,
1330,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-24 23:28:35,,,
747,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-28 20:18:33,,,
325,"Broadway - Lafayette St, Bleecker St",An escalator,,Northbound Platform To Mezzanine,OUTAGE,2017-03-30 20:48:32,,,
2994,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-15 12:48:26,FIXED,2017-03-15 13:28:35,0 days 00:40:09.000000000
2911,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-16 02:28:50,FIXED,2017-03-16 05:58:24,0 days 03:29:34.000000000
2334,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-19 12:48:47,FIXED,2017-03-19 14:48:46,0 days 01:59:59.000000000
2265,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-20 03:18:27,FIXED,2017-03-20 06:38:22,0 days 03:19:55.000000000
1777,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-22 16:48:38,FIXED,2017-03-22 17:28:50,0 days 00:40:12.000000000
1624,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-23 09:18:49,FIXED,2017-03-23 10:38:54,0 days 01:20:05.000000000
1356,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-24 19:38:30,FIXED,2017-03-24 21:08:27,0 days 01:29:57.000000000
1148,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-26 08:18:43,FIXED,2017-03-26 10:28:20,0 days 02:09:37.000000000
1034,Broadway Junction,An escalator,,Street To Upper Mezzanine,OUTAGE,2017-03-27 05:58:40,FIXED,2017-03-27 09:18:40,0 days 03:20:00.000000000
