,name,human_eq_type,location,serving,status,date,status2,date2,time_spent
1177,125th St,An escalator,,Street To Mezzanine,OUTAGE,2017-03-26 02:28:44,FIXED,2017-03-26 04:38:32,0 days 02:09:48.000000000
908,125th St,An escalator,,Street To Mezzanine,OUTAGE,2017-03-27 22:28:55,FIXED,2017-03-28 08:09:31,0 days 09:40:36.000000000
782,125th St,An escalator,,Street To Mezzanine,OUTAGE,2017-03-28 15:28:33,FIXED,2017-03-29 02:28:30,0 days 10:59:57.000000000
652,125th St,An escalator,,Street To Mezzanine,OUTAGE,2017-03-29 06:18:31,FIXED,2017-03-29 21:58:34,0 days 15:40:03.000000000
353,125th St,An escalator,,Street To Mezzanine,OUTAGE,2017-03-30 18:28:45,FIXED,2017-03-30 19:38:40,0 days 01:09:55.000000000
617,135th St,An elevator,NE corner of 135 Street and Lenox Avenue,,OUTAGE,2017-03-29 10:08:50,,,
3188,135th St,An elevator,NE corner of 135 Street and Lenox Avenue,Street To Mezzanine &amp; Uptown Platform,FIXED,2017-03-14 16:18:17,,,
2561,135th St,An elevator,NE corner of 135 Street and Lenox Avenue,Street To Mezzanine &amp; Uptown Platform,OUTAGE,2017-03-18 00:09:32,FIXED,2017-03-18 00:18:21,0 days 00:08:49.000000000
925,145th St,An escalator,,Northbound Ll Platform To Upper Mezzanine,OUTAGE,2017-03-27 20:38:48,FIXED,2017-03-27 22:18:52,0 days 01:40:04.000000000
1592,14th St - 8 Av,An elevator,,"Mezzanine To Downtown A,C&amp;E Platform",OUTAGE,2017-03-23 12:48:47,FIXED,2017-03-23 16:38:22,0 days 03:49:35.000000000
481,14th St - 8 Av,An elevator,,"Mezzanine To Downtown A,C&amp;E Platform",OUTAGE,2017-03-30 04:18:39,FIXED,2017-03-30 09:08:56,0 days 04:50:17.000000000
3079,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-15 04:38:23,FIXED,2017-03-15 08:58:14,0 days 04:19:51.000000000
2879,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-16 05:28:16,FIXED,2017-03-16 09:08:43,0 days 03:40:27.000000000
2332,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-19 14:18:30,FIXED,2017-03-19 22:38:24,0 days 08:19:54.000000000
2074,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 09:08:32,0 days 05:40:09.000000000
1891,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 03:38:27,FIXED,2017-03-22 09:08:57,0 days 05:30:30.000000000
1765,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-22 18:58:54,FIXED,2017-03-23 09:28:42,0 days 14:29:48.000000000
907,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-27 22:28:56,FIXED,2017-03-29 00:38:41,1 days 02:09:45.000000000
315,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-30 21:48:30,FIXED,2017-03-31 11:08:51,0 days 13:20:21.000000000
109,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-03-31 23:08:47,FIXED,2017-04-01 00:58:57,0 days 01:50:10.000000000
11,14th St - 8 Av,An elevator,,Mezzanine To L Platform,OUTAGE,2017-04-01 12:48:23,,,
2396,14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-19 03:08:32,FIXED,2017-03-19 09:09:00,0 days 06:00:28.000000000
2266,14th St - 8 Av,An elevator,,Mezzanine To Platform,OUTAGE,2017-03-20 03:18:27,FIXED,2017-03-20 08:58:19,0 days 05:39:52.000000000
496,14th St - 8 Av,An elevator,,"Mezzanine To Uptown A,C&amp;E Platform",OUTAGE,2017-03-30 03:38:45,FIXED,2017-03-30 09:38:25,0 days 05:59:40.000000000
1990,14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-21 15:09:42,FIXED,2017-03-21 15:48:46,0 days 00:39:04.000000000
988,14th St - 8 Av,An elevator,NW corner of 14th Street and Eighth Avenue,Street To Mezzanine,OUTAGE,2017-03-27 11:48:30,FIXED,2017-03-27 21:19:03,0 days 09:30:33.000000000
2889,161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-16 04:18:13,FIXED,2017-03-16 09:18:16,0 days 05:00:03.000000000
2252,161st St - Yankee Stadium,An elevator,,"Mezzanine To Downtown B, D",OUTAGE,2017-03-20 04:48:28,FIXED,2017-03-20 09:18:32,0 days 04:30:04.000000000
2121,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-20 21:58:40,FIXED,2017-03-21 01:18:36,0 days 03:19:56.000000000
1874,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-22 04:38:49,FIXED,2017-03-22 07:28:44,0 days 02:49:55.000000000
1707,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-23 03:38:45,FIXED,2017-03-23 08:28:45,0 days 04:50:00.000000000
1517,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-24 00:58:39,FIXED,2017-03-24 05:28:53,0 days 04:30:14.000000000
1310,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 02:18:21,FIXED,2017-03-25 06:28:19,0 days 04:09:58.000000000
1196,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-25 22:38:21,FIXED,2017-03-26 00:58:18,0 days 02:19:57.000000000
1039,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-27 04:58:32,FIXED,2017-03-27 06:28:31,0 days 01:29:59.000000000
741,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-28 20:58:36,FIXED,2017-03-29 17:08:38,0 days 20:10:02.000000000
391,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-30 13:18:34,FIXED,2017-03-30 17:08:43,0 days 03:50:09.000000000
163,161st St - Yankee Stadium,An elevator,,"Mezzanine To Uptown B, D",OUTAGE,2017-03-31 16:08:55,FIXED,2017-03-31 18:38:50,0 days 02:29:55.000000000
3139,161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,FIXED,2017-03-14 20:58:43,,,
1679,161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-03-23 05:18:47,FIXED,2017-03-23 08:08:40,0 days 02:49:53.000000000
185,161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-03-31 13:28:57,FIXED,2017-03-31 15:58:32,0 days 02:29:35.000000000
45,161st St - Yankee Stadium,An elevator,,Mezzanines To  Uptown 4 Platform,OUTAGE,2017-04-01 06:18:47,FIXED,2017-04-01 09:18:41,0 days 02:59:54.000000000
3176,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,FIXED,2017-03-14 17:18:35,,,
2956,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-15 18:28:13,FIXED,2017-03-15 22:28:16,0 days 04:00:03.000000000
2764,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-16 19:28:58,FIXED,2017-03-16 22:58:14,0 days 03:29:16.000000000
2623,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-17 15:58:20,FIXED,2017-03-18 00:58:29,0 days 09:00:09.000000000
2440,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-18 17:18:50,FIXED,2017-03-18 20:28:27,0 days 03:09:37.000000000
2267,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 03:08:42,FIXED,2017-03-20 04:38:24,0 days 01:29:42.000000000
2166,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-20 18:28:49,FIXED,2017-03-20 22:28:47,0 days 03:59:58.000000000
1992,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-21 14:38:58,FIXED,2017-03-21 21:08:58,0 days 06:30:00.000000000
1793,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-22 15:10:06,,,
1571,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-23 16:58:42,FIXED,2017-03-23 23:48:22,0 days 06:49:40.000000000
1386,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-24 16:08:27,FIXED,2017-03-25 09:28:43,0 days 17:20:16.000000000
1131,161st St - Yankee Stadium,An elevator,,Mezzanines To Downtown 4 Platform,OUTAGE,2017-03-26 11:38:18,FIXED,2017-03-27 17:28:52,1 days 05:50:34.000000000
861,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,,OUTAGE,2017-03-28 04:18:42,,,
396,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,,OUTAGE,2017-03-30 12:48:27,,,
3152,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,FIXED,2017-03-14 19:58:37,,,
2341,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-19 11:18:40,FIXED,2017-03-19 14:08:59,0 days 02:50:19.000000000
1097,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-03-26 21:28:39,FIXED,2017-03-27 01:28:34,0 days 03:59:55.000000000
44,161st St - Yankee Stadium,An elevator,NE corner of 161st Street and River Avenue,Street To Mezzanine,OUTAGE,2017-04-01 06:18:47,,,
2930,161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 22:18:34,FIXED,2017-03-16 01:18:15,0 days 02:59:41.000000000
1745,161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 20:48:54,FIXED,2017-03-22 20:59:03,0 days 00:10:09.000000000
1675,161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 05:28:32,FIXED,2017-03-23 23:58:35,0 days 18:30:03.000000000
1172,161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-26 04:09:15,FIXED,2017-03-26 09:18:45,0 days 05:09:30.000000000
463,161st St - Yankee Stadium,An escalator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-30 04:58:31,FIXED,2017-03-30 09:38:27,0 days 04:39:56.000000000
3053,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-15 07:58:12,FIXED,2017-03-15 10:48:43,0 days 02:50:31.000000000
2895,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-16 03:58:22,FIXED,2017-03-16 09:08:44,0 days 05:10:22.000000000
2698,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-17 03:58:39,FIXED,2017-03-17 08:58:25,0 days 04:59:46.000000000
2293,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-19 21:08:58,FIXED,2017-03-20 09:18:32,0 days 12:09:34.000000000
2073,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-21 03:28:23,FIXED,2017-03-21 05:28:51,0 days 02:00:28.000000000
1882,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-22 03:58:23,FIXED,2017-03-22 09:08:58,0 days 05:10:35.000000000
1699,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-23 04:18:47,FIXED,2017-03-23 07:18:26,0 days 02:59:39.000000000
1057,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 03:38:47,FIXED,2017-03-27 06:38:45,0 days 02:59:58.000000000
992,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-27 10:38:21,,,
706,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 00:38:32,FIXED,2017-03-29 09:28:41,0 days 08:50:09.000000000
525,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-29 23:08:30,FIXED,2017-03-30 00:18:46,0 days 01:10:16.000000000
256,168th St,An elevator,,Lower Mezzanine To Upper Mezzanine,OUTAGE,2017-03-31 04:48:44,FIXED,2017-03-31 05:38:53,0 days 00:50:09.000000000
1053,168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-27 03:48:43,FIXED,2017-03-27 09:18:39,0 days 05:29:56.000000000
492,168th St,An elevator,,Mezzanine To Downtown,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:18:27,0 days 05:19:47.000000000
3175,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,FIXED,2017-03-14 17:18:35,,,
1666,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-23 06:28:17,FIXED,2017-03-23 09:28:43,0 days 03:00:26.000000000
537,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-29 21:58:32,FIXED,2017-03-29 22:58:40,0 days 01:00:08.000000000
491,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 03:58:40,FIXED,2017-03-30 09:38:26,0 days 05:39:46.000000000
389,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-03-30 13:18:37,FIXED,2017-03-30 14:58:46,0 days 01:40:09.000000000
98,168th St,An elevator,SE corner of 168 Street and St. Nicholas Avenue,Street To Mezzanine,OUTAGE,2017-04-01 00:38:41,FIXED,2017-04-01 07:28:47,0 days 06:50:06.000000000
3173,175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,FIXED,2017-03-14 17:18:36,,,
1276,175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-25 06:48:33,FIXED,2017-03-25 09:58:43,0 days 03:10:10.000000000
1153,175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-26 06:58:29,FIXED,2017-03-26 09:38:42,0 days 02:40:13.000000000
1043,175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-27 04:38:25,FIXED,2017-03-27 07:58:33,0 days 03:20:08.000000000
243,175th St,An elevator,NE corner of 177th Street and Fort Washington Avenue,Street To Mezzanine,OUTAGE,2017-03-31 05:38:32,FIXED,2017-03-31 17:09:07,0 days 11:30:35.000000000
3104,181st St,An elevator,,Lower Mezzanine To Street,FIXED,2017-03-15 02:08:30,,,
2828,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-16 11:58:14,FIXED,2017-03-16 19:08:57,0 days 07:10:43.000000000
2723,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-16 23:58:23,FIXED,2017-03-17 08:38:41,0 days 08:40:18.000000000
2195,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-20 13:08:53,FIXED,2017-03-20 17:38:34,0 days 04:29:41.000000000
1362,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-24 18:18:34,FIXED,2017-03-25 01:38:45,0 days 07:20:11.000000000
1234,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-25 14:28:18,FIXED,2017-03-25 17:18:47,0 days 02:50:29.000000000
1156,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-26 05:58:41,FIXED,2017-03-26 08:28:20,0 days 02:29:39.000000000
905,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-27 22:48:48,FIXED,2017-03-28 01:29:02,0 days 02:40:14.000000000
783,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-28 15:18:34,FIXED,2017-03-28 16:28:46,0 days 01:10:12.000000000
673,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-29 03:58:27,FIXED,2017-03-29 09:09:04,0 days 05:10:37.000000000
552,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-29 19:48:38,FIXED,2017-03-30 01:28:47,0 days 05:40:09.000000000
369,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-30 16:48:41,FIXED,2017-03-30 17:58:25,0 days 01:09:44.000000000
223,181st St,An elevator,,Lower Mezzanine To Street,OUTAGE,2017-03-31 08:48:33,FIXED,2017-03-31 12:08:39,0 days 03:20:06.000000000
