nyca_id,name,location,serving
226,Jamaica Ctr - Parsons / Archer,,Center Island Lower Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,,Mezzanine To Platform
226,Jamaica Ctr - Parsons / Archer,,Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,,Center Island Lower Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,,Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,,Center Island Upper Platform To Mezzanine
226,Jamaica Ctr - Parsons / Archer,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,,Mezzanine To Street
226,Jamaica Ctr - Parsons / Archer,,Center Island Upper Platform To Mezzanine
227,Simpson St,NW corner of Simpson Street and Westchester Avenue,Street To Mezzanine And Downtown Platform
227,Simpson St,SE corner of Simpson Street and Westchester Avenue,Street To Mezzanine & Uptown Platform
241,Pelham Pkwy,SW corner of Pelham Parkway and White Plains Road,Street To Mezzanine
241,Pelham Pkwy,,Mezzanine To Downtown
241,Pelham Pkwy,,Mezzanine To Uptown
241,Pelham Pkwy,,Mezzanine To Southbound Platform
241,Pelham Pkwy,,Street To Mezzanine
25,Bleecker St,North side of Houston Street between Lafayette and Crosby Streets,Street To Mezzanine And Downtown 6 Platform
25,Bleecker St,,Uptown 6 Mezzanine To Downtown B/D/F/M Platform
25,Bleecker St,,Uptown 6 Mezzanine To Uptown B/D/F/M Platform
25,Bleecker St,,Downtown 6 Mezzanine To Uptown B/D/F/M Platform
25,Bleecker St,,Downtown 6 Mezzanine To Downtown B/D/F/M Platform
25,Bleecker St,,Northbound Platform To Mezzanine
250,Kingsbridge Rd,NE corner of E. Kingsbridge Road and Grand Concourse,Street To Mezzanine
250,Kingsbridge Rd,,Mezzanine To Southbound Platform
250,Kingsbridge Rd,,Northbound Platform To Mezzanine
253,231st St,SE corner of 231 Street and Broadway,Street To Mezzanine & Uptown Platform
253,231st St,SW corner of 231 Street and Broadway,Street To Mezzanine
256,Inwood - 207th St,SW corner of Broadway and 207th Street,Street To Mezzanine
256,Inwood - 207th St,,Mezzanine To Platform
262,Gun Hill Rd,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine And Downtown Platform
262,Gun Hill Rd,Inside main entrance on White Plains Road between Gun Hill Road and 211 Street,Street To Mezzanine & Uptown Platform
262,Gun Hill Rd,,Street To Mezzanine
262,Gun Hill Rd,,Street To Mezzanine
269,Jamaica - 179th St,SE corner of 179th Place and Hillside Avenue,Street To Mezzanine
269,Jamaica - 179th St,,Mezzanine To Platform
269,Jamaica - 179th St,,Mezzanine To Platform
276,E 180th St,NW corner of East 180th Street and Morris Park Avenue (inside station house),Street To Uptown Platform
276,E 180th St,NW corner of East 180th Street and Morris Park Avenue (inside station house),Street To Downtown Platform
277,Dyckman St,SW corner of Hillside Avenue and St. Nicholas Avenue/Ft. George Hill,Street To Downtown Platform
280,Franklin Ave,SW corner of Fulton Street and Franklin Avenue,Street To Downtown C Platform And S Platform
280,Franklin Ave,,Uptown Platform To 1st Level Bridge
280,Franklin Ave,,Lower Mezzanine To Platform
283,3rd Ave - 149th St,NW corner of 149th Street and Third Avenue,Street To Downtown Platform
